team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Anderlecht,2.09,1.0,6.79,3.93,6.64,4.36,17.0,9.43,109.57,89.14,58.71,41.14,53.43,46.57,0.75,0.25,9.86,6.93,7.14,2.5,2.08,1.23,7.29,10.0,11.21,6.43,13.21,12.0,1.5,3.86,2.43,3.36,0.53,0.26,0.25,0.58,0.46,,,0.55,0.49,0.53,0.51,0.54,0.27,0.26,0.49,0.58,,,0.55,0.51,0.55,0.51,Belgium Liga Pro,2025-2026,1.71,1.29,5.71,5.79,6.93,5.14,16.14,12.64,101.29,92.93,55.64,51.79,47.29,52.71,0.67,0.5,11.07,7.71,5.07,4.93,1.31,1.85,7.57,8.86,10.64,7.5,9.64,14.64,2.43,3.64,1.93,2.57,0.37,0.28,0.39,0.58,0.46,,,0.53,0.5,0.51,0.52,0.39,0.29,0.4,0.49,0.59,,,0.53,0.53,0.53,0.53
Antwerp,1.43,1.21,4.57,5.07,4.79,4.0,12.5,12.36,96.21,99.36,42.79,44.5,48.79,51.21,1.0,0.5,7.5,8.5,5.0,3.86,3.14,1.57,7.5,8.29,9.29,7.07,12.29,12.29,3.07,3.5,2.0,2.36,0.39,0.29,0.37,0.58,0.46,,,0.52,0.51,0.52,0.51,0.4,0.29,0.38,0.5,0.57,,,0.55,0.5,0.54,0.52,Belgium Liga Pro,2025-2026,1.08,0.83,5.21,3.36,5.57,3.86,15.5,9.79,108.93,94.93,54.5,36.79,53.43,46.57,0.0,1.0,10.5,5.5,4.93,4.14,1.93,1.86,6.79,8.07,8.92,6.38,11.79,13.64,3.08,3.85,1.43,1.86,0.51,0.28,0.25,0.56,0.48,0.56,0.47,0.53,0.5,0.51,0.52,0.52,0.28,0.26,0.51,0.57,,,0.55,0.51,0.53,0.52
Cercle Brugge,1.38,2.15,4.79,5.14,6.14,5.57,14.64,13.86,108.07,84.5,50.07,39.57,48.64,51.36,0.86,0.29,10.5,9.07,4.07,4.79,2.57,1.29,6.43,9.29,10.29,9.86,9.14,13.71,3.57,3.57,1.29,1.93,0.43,0.27,0.33,0.6,0.44,,,,,0.52,0.51,0.44,0.28,0.35,0.47,0.61,,,,,0.52,0.53,Belgium Liga Pro,2025-2026,1.17,1.42,5.79,4.86,5.21,5.57,14.29,13.14,102.0,103.07,53.57,50.43,54.57,45.43,0.5,1.0,9.57,9.71,4.71,3.36,1.69,3.23,9.57,7.21,8.64,7.79,11.36,12.0,2.64,3.64,1.36,2.79,0.45,0.27,0.31,0.6,0.44,0.55,0.48,0.55,0.48,0.51,0.52,0.47,0.29,0.33,0.46,0.61,,,0.52,0.54,0.53,0.53
Club Brugge,2.14,1.29,7.5,3.71,6.43,5.0,18.5,11.0,115.57,71.64,66.71,40.0,65.71,34.29,0.0,1.0,13.86,7.36,4.64,3.57,1.57,1.86,6.43,9.29,11.29,7.14,9.21,12.14,2.5,4.07,1.0,2.29,0.7,0.19,0.15,0.57,0.47,,,,,,,0.71,0.21,0.16,0.5,0.58,,,,,,,Belgium Liga Pro,2025-2026,1.14,1.64,4.29,5.86,5.71,5.07,13.21,14.57,79.5,104.93,40.43,57.14,39.64,60.36,0.5,0.5,8.36,9.93,4.79,4.71,1.14,1.14,8.57,8.0,8.71,9.57,11.29,9.71,3.29,3.0,2.77,1.92,0.24,0.25,0.55,0.62,0.42,,,,,0.53,0.51,0.26,0.25,0.56,0.45,0.62,,,,,0.55,0.51
Dender,0.92,2.08,3.57,5.21,4.64,6.57,10.93,13.64,87.14,98.93,46.36,58.57,48.71,51.29,0.33,1.0,7.79,9.21,3.21,4.29,1.92,1.46,10.36,7.93,6.29,8.86,10.71,11.0,2.54,2.92,2.08,1.25,0.31,0.28,0.44,0.56,0.48,,,0.51,0.53,0.51,0.53,0.33,0.29,0.45,0.5,0.57,,,0.52,0.53,0.52,0.53,Belgium Liga Pro,2025-2026,1.75,1.0,6.29,3.64,7.07,3.86,16.79,11.0,111.14,88.0,59.93,39.93,54.57,45.43,0.75,0.5,11.14,7.79,5.57,3.21,2.79,1.93,6.21,10.36,11.43,7.71,11.29,11.43,3.5,3.64,1.57,2.36,0.54,0.27,0.23,0.57,0.47,0.55,0.48,0.54,0.5,0.52,0.52,0.55,0.28,0.25,0.51,0.56,0.51,0.55,0.53,0.52,0.52,0.53
Genk,1.43,1.43,6.93,4.0,7.21,3.64,18.14,10.14,126.43,77.14,61.57,38.21,62.86,37.14,0.0,1.0,10.64,7.07,7.57,3.07,2.08,1.77,6.0,9.64,11.5,6.71,10.07,13.21,2.64,4.64,1.15,2.46,0.57,0.25,0.23,0.58,0.46,,,,,0.52,0.51,0.58,0.26,0.24,0.47,0.6,,,,,0.53,0.53,Belgium Liga Pro,2025-2026,1.57,1.43,4.71,4.21,6.14,4.5,15.79,12.93,74.71,99.21,45.07,46.43,40.29,59.71,0.5,0.5,10.29,8.5,5.36,4.36,2.21,1.21,6.93,8.29,10.43,8.36,11.64,9.93,3.93,3.64,2.29,1.79,0.33,0.27,0.43,0.6,0.44,,,0.55,0.48,0.52,0.52,0.35,0.28,0.44,0.46,0.61,,,0.56,0.5,0.53,0.53
Gent,1.79,1.21,4.86,5.0,6.79,4.93,15.29,12.57,103.14,102.0,52.14,50.64,53.93,46.07,0.5,0.5,10.0,8.71,5.29,3.86,1.92,1.38,8.14,8.29,9.21,8.0,10.64,11.29,2.93,2.29,1.5,2.36,0.42,0.28,0.34,0.6,0.44,,,0.55,0.48,0.52,0.52,0.43,0.28,0.36,0.47,0.61,,,0.56,0.5,0.53,0.53,Belgium Liga Pro,2025-2026,1.92,1.46,6.57,4.86,6.5,4.0,16.29,11.5,106.5,88.36,56.5,42.0,51.86,48.14,0.25,0.75,11.07,7.71,5.21,3.79,2.0,1.67,7.64,10.86,11.14,8.14,11.07,10.57,3.21,3.79,1.85,1.77,0.48,0.27,0.29,0.61,0.43,,,0.52,0.51,0.53,0.51,0.5,0.28,0.3,0.46,0.61,,,0.53,0.52,0.54,0.51
La Louvière,0.78,1.22,5.79,3.64,5.07,4.57,10.71,11.5,91.85,98.62,49.46,47.31,39.5,60.5,0.0,1.0,7.5,6.93,3.14,4.57,1.67,2.08,7.86,10.29,7.5,7.07,11.07,12.64,3.43,2.79,1.54,1.77,0.35,0.29,0.4,0.55,0.49,0.54,0.49,0.52,0.51,0.52,0.52,0.36,0.3,0.41,0.52,0.55,0.53,0.52,0.52,0.54,0.52,0.54,Belgium Liga Pro,2025-2026,1.82,1.36,5.07,3.57,4.86,4.57,12.79,8.93,113.0,81.43,50.29,36.21,65.57,34.43,1.0,0.0,9.07,6.14,3.64,2.86,2.71,1.93,8.79,8.43,8.21,5.71,12.64,12.0,1.36,3.5,1.43,2.36,0.54,0.28,0.22,0.52,0.52,0.55,0.48,0.52,0.52,0.51,0.52,0.55,0.29,0.24,0.54,0.53,0.56,0.5,0.54,0.52,0.54,0.52
Mechelen,1.38,1.23,4.36,6.0,4.21,5.57,10.43,14.86,89.21,109.93,49.07,54.64,48.79,51.21,0.5,0.75,7.64,10.21,2.86,4.64,1.93,1.0,9.5,6.21,6.64,9.79,10.64,11.57,4.36,2.5,2.14,1.93,0.37,0.28,0.38,0.6,0.44,,,0.55,0.48,0.51,0.52,0.39,0.29,0.4,0.47,0.6,,,0.56,0.5,0.52,0.54,Belgium Liga Pro,2025-2026,1.21,1.36,6.29,5.0,6.21,3.86,14.79,9.86,105.93,90.0,54.93,45.07,48.71,51.29,1.0,0.0,9.14,6.86,5.64,3.0,1.0,1.58,6.07,8.64,9.64,6.0,11.57,11.21,2.57,3.64,1.57,2.43,0.51,0.26,0.26,0.61,0.43,,,0.55,0.49,0.51,0.52,0.53,0.27,0.28,0.47,0.6,,,0.5,0.56,0.53,0.53
OH Leuven,1.31,1.38,5.36,5.79,6.86,4.14,15.5,10.64,83.57,90.93,42.21,45.64,46.57,53.43,0.5,0.75,10.79,7.29,4.64,3.36,2.5,2.43,7.86,9.36,9.5,7.21,15.86,12.36,2.36,3.64,2.93,2.71,0.37,0.29,0.37,0.57,0.47,0.55,0.48,0.53,0.5,0.51,0.53,0.39,0.3,0.39,0.51,0.57,0.56,0.5,0.52,0.54,0.53,0.52,Belgium Liga Pro,2025-2026,1.92,0.92,6.57,4.57,5.86,4.71,15.71,12.07,97.29,76.5,60.36,43.21,55.93,44.07,0.8,0.4,11.07,7.79,4.64,4.29,2.93,1.71,7.0,8.86,10.64,6.86,10.86,15.71,2.93,4.21,2.0,3.36,0.52,0.27,0.25,0.55,0.49,0.54,0.5,0.51,0.52,0.52,0.52,0.53,0.28,0.26,0.52,0.55,0.52,0.54,0.55,0.51,0.53,0.53
