team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AGF,1.89,0.89,6.9,2.8,7.6,2.8,19.2,8.4,116.4,80.4,89.6,38.6,60.0,40.0,1.25,0.0,12.6,5.3,6.9,2.9,1.9,1.0,4.8,11.6,13.1,5.5,10.3,12.1,2.3,4.5,1.3,2.2,0.55,0.25,0.24,0.61,0.43,,,,,0.54,0.49,0.57,0.25,0.25,0.46,0.61,,,,,0.56,0.5,Denmark Superliga,2025-2026,1.18,2.18,4.73,4.73,4.91,4.36,12.45,12.91,97.73,84.73,52.64,48.45,50.64,49.36,0.4,0.6,9.18,8.82,3.27,4.09,1.64,2.18,6.73,7.36,9.27,8.64,12.82,10.73,2.82,3.45,1.9,1.7,0.33,0.26,0.45,0.61,0.43,,,0.54,0.5,0.53,0.5,0.34,0.27,0.46,0.47,0.6,,,0.54,0.51,0.54,0.52
Brøndby IF,2.11,1.56,3.2,3.7,4.4,4.4,14.0,11.2,103.4,90.6,60.3,40.5,51.6,48.4,1.0,0.0,10.1,7.7,4.0,3.4,1.3,0.7,6.4,7.1,9.1,7.6,11.1,13.0,3.1,3.6,1.2,1.9,0.52,0.25,0.27,0.61,0.43,,,,,0.54,0.49,0.52,0.26,0.29,0.46,0.61,,,,,0.55,0.51,Denmark Superliga,2025-2026,0.8,1.2,4.91,4.18,4.64,5.73,12.27,14.09,94.64,94.64,45.82,51.64,47.45,52.55,1.0,0.0,6.18,7.73,6.09,6.18,1.55,1.73,9.0,6.36,8.09,8.73,12.27,10.64,3.64,3.45,2.27,2.18,0.36,0.26,0.42,0.62,0.42,,,,,0.54,0.5,0.37,0.27,0.43,0.46,0.62,,,,,0.54,0.52
FC København,1.5,1.6,5.27,4.09,6.91,3.36,17.45,10.09,126.55,84.82,62.09,39.0,55.64,44.36,0.67,0.5,11.0,6.55,6.27,3.55,1.91,1.27,6.09,10.09,10.73,6.55,12.27,10.27,2.45,3.45,1.55,1.82,0.65,0.22,0.17,0.57,0.47,,,,,0.53,0.5,0.66,0.22,0.18,0.5,0.57,,,,,0.54,0.52,Denmark Superliga,2025-2026,1.6,1.8,4.1,5.1,2.8,6.4,9.1,15.3,80.7,120.2,30.7,53.4,45.0,55.0,1.0,0.33,5.9,10.4,3.2,4.8,1.5,1.6,8.5,5.7,6.6,9.8,10.4,12.2,3.2,2.7,1.33,1.89,0.24,0.25,0.55,0.58,0.46,,,,,0.54,0.5,0.25,0.25,0.56,0.49,0.58,,,,,0.55,0.51
FC Midtjylland,3.4,1.4,6.27,3.55,5.55,3.73,15.73,11.18,108.18,77.09,55.09,35.18,57.0,43.0,0.5,1.0,10.82,7.0,4.73,4.09,2.27,0.91,5.64,8.64,10.82,6.55,11.82,14.91,2.09,3.82,1.64,2.18,0.62,0.22,0.2,0.64,0.4,,,,,,,0.63,0.23,0.21,0.43,0.64,,,,,,,Denmark Superliga,2025-2026,1.0,2.22,5.4,4.1,5.1,4.4,14.2,13.0,89.4,99.3,53.6,41.7,48.8,51.2,0.67,0.33,9.3,8.6,5.0,4.3,2.2,2.0,6.6,8.5,9.5,7.9,11.4,11.4,2.8,4.3,1.6,2.7,0.29,0.24,0.51,0.64,0.4,,,,,0.54,0.49,0.29,0.26,0.52,0.43,0.64,,,,,0.56,0.5
Fredericia,0.92,2.08,5.75,6.25,4.5,5.75,11.67,17.33,89.42,105.08,45.58,63.0,46.42,53.58,0.0,1.0,7.75,11.0,3.83,6.25,2.33,1.17,9.25,7.33,8.08,11.67,10.25,10.75,4.08,2.83,1.64,1.18,0.26,0.24,0.53,0.63,0.41,,,,,0.54,0.5,0.27,0.25,0.55,0.44,0.64,,,,,0.55,0.51,Denmark Superliga,2025-2026,2.6,1.7,6.7,3.0,7.1,3.1,19.6,9.6,124.4,74.3,90.4,45.0,60.7,39.3,1.0,0.33,13.3,7.0,7.2,2.7,0.8,1.4,4.5,10.0,12.4,6.0,8.6,9.3,2.0,4.0,1.0,1.12,0.66,0.21,0.18,0.61,0.44,,,,,0.54,0.49,0.66,0.22,0.19,0.46,0.61,,,,,0.51,0.54
Nordsjælland,1.9,1.1,5.9,1.9,5.7,4.3,14.6,9.6,110.1,77.3,61.4,34.6,59.6,40.4,0.5,0.5,9.6,5.7,5.0,3.9,1.11,2.22,6.2,7.2,11.1,6.6,10.0,9.0,2.2,4.3,1.9,1.9,0.48,0.24,0.32,0.67,0.38,,,,,,,0.48,0.25,0.33,0.42,0.66,,,,,,,Denmark Superliga,2025-2026,2.27,1.36,4.27,4.0,4.82,3.18,13.73,11.73,81.45,108.0,52.55,45.73,44.27,55.73,1.0,0.5,9.64,7.55,4.0,4.36,1.82,1.0,6.27,7.27,9.18,5.73,12.0,10.64,3.18,3.27,1.45,1.73,0.42,0.26,0.36,0.64,0.39,,,,,,,0.43,0.27,0.37,0.42,0.65,,,,,0.56,0.5
Odense BK,1.8,2.2,5.4,3.9,4.2,3.7,12.0,11.6,104.7,102.2,49.9,40.2,48.8,51.2,0.75,0.25,8.3,8.1,3.6,3.4,1.7,1.8,5.4,6.8,8.8,6.7,11.9,10.6,2.6,3.9,1.6,1.6,0.41,0.26,0.37,0.65,0.4,,,,,,,0.41,0.27,0.38,0.43,0.64,,,,,0.56,0.5,Denmark Superliga,2025-2026,2.2,1.6,6.27,4.55,4.45,4.82,13.45,11.09,102.45,82.82,74.18,45.82,51.73,48.27,0.33,0.67,8.45,7.64,4.82,3.36,2.64,1.73,7.18,6.91,7.91,7.73,9.0,11.64,2.64,2.55,1.18,1.91,0.5,0.25,0.29,0.63,0.41,,,,,0.53,0.5,0.51,0.26,0.3,0.45,0.63,,,,,,
Randers FC,1.25,1.5,4.6,4.3,4.2,4.6,11.1,13.7,94.6,108.7,44.1,48.3,47.0,53.0,1.0,0.0,7.5,8.1,3.6,5.6,2.1,1.5,7.0,6.4,8.5,8.9,10.5,9.8,3.9,3.8,1.5,1.5,0.38,0.27,0.38,0.61,0.43,,,,,0.53,0.5,0.4,0.28,0.4,0.46,0.61,,,,,0.54,0.52,Denmark Superliga,2025-2026,1.3,1.4,4.92,5.33,4.67,4.67,11.83,11.92,101.33,93.0,51.42,47.58,51.58,48.42,1.0,0.33,7.42,8.58,4.42,3.5,1.55,1.55,8.17,7.58,8.17,8.33,10.92,13.17,2.5,2.75,1.67,2.42,0.44,0.26,0.33,0.62,0.42,,,,,0.54,0.49,0.45,0.27,0.35,0.45,0.63,,,,,0.54,0.51
Silkeborg IF,1.11,1.56,5.3,5.3,3.2,6.5,12.0,14.4,98.7,114.6,47.7,51.0,52.8,47.2,2.0,0.0,7.3,9.7,4.7,4.7,1.7,1.5,9.6,5.3,6.7,10.0,7.2,11.6,3.8,3.2,1.11,1.89,0.37,0.26,0.4,0.64,0.4,,,,,0.54,0.5,0.38,0.27,0.41,0.43,0.64,,,,,0.52,0.53,Denmark Superliga,2025-2026,2.45,1.27,5.64,3.55,5.55,3.45,16.27,10.91,120.18,85.36,57.64,35.27,51.36,48.64,0.8,0.2,11.45,6.64,4.73,4.27,2.3,0.6,5.45,8.27,12.18,7.45,11.64,7.18,3.09,5.18,1.55,1.0,0.54,0.24,0.26,0.64,0.4,,,,,,,0.55,0.25,0.27,0.44,0.63,,,,,,
Sønderjyske Fodbold,1.73,1.0,4.0,6.09,4.45,4.82,13.18,12.82,85.0,106.27,46.91,53.36,44.18,55.82,1.0,0.0,8.45,9.09,4.73,4.0,1.91,1.73,8.45,8.27,8.09,6.91,9.91,9.73,2.36,2.64,1.4,2.4,0.36,0.26,0.41,0.62,0.42,,,0.54,0.5,0.53,0.51,0.37,0.27,0.43,0.46,0.61,,,0.54,0.51,0.54,0.52,Denmark Superliga,2025-2026,1.89,1.67,5.9,4.1,6.2,4.3,14.7,12.0,113.7,93.4,51.6,41.5,54.7,45.3,1.0,0.5,9.5,8.3,5.0,3.6,2.6,0.9,8.4,8.5,10.0,7.7,8.9,11.7,2.5,2.9,1.2,1.6,0.53,0.25,0.26,0.64,0.4,,,,,0.54,0.5,0.54,0.26,0.26,0.44,0.64,,,,,0.52,0.54
Vejle Boldklub,1.45,1.64,4.45,5.45,4.27,3.73,12.27,11.0,92.64,99.36,66.73,51.36,45.82,54.18,1.0,0.0,7.73,7.82,4.55,3.27,2.09,1.73,7.55,7.0,8.27,7.36,13.82,9.18,2.64,3.27,1.73,1.55,0.32,0.26,0.46,0.61,0.43,,,,,0.53,0.5,0.33,0.27,0.47,0.47,0.61,,,,,0.53,0.53,Denmark Superliga,2025-2026,2.4,0.7,4.7,4.1,4.7,3.1,14.1,10.1,104.0,94.8,53.7,43.7,57.7,42.3,1.0,0.0,10.7,6.3,3.4,3.8,1.6,1.0,5.8,8.2,10.5,5.4,9.1,12.7,2.2,3.6,1.1,2.2,0.58,0.24,0.22,0.58,0.46,,,,,0.53,0.5,0.59,0.25,0.23,0.48,0.59,,,,,0.54,0.51
Viborg FF,2.09,1.73,4.45,4.0,4.73,4.36,11.73,13.36,84.82,88.55,39.45,50.91,46.82,53.18,0.5,0.75,8.55,9.18,3.82,4.36,1.1,1.4,7.64,6.55,9.0,7.36,10.64,12.18,2.45,2.36,1.6,2.1,0.42,0.26,0.36,0.61,0.43,,,,,0.55,0.49,0.43,0.27,0.37,0.45,0.62,,,,,0.56,0.5,Denmark Superliga,2025-2026,1.22,1.33,4.0,5.0,4.9,4.6,13.4,12.9,102.2,106.9,52.2,49.6,51.1,48.9,,,8.9,8.3,4.6,4.7,1.5,1.0,7.7,8.0,8.5,8.6,12.6,11.9,3.4,3.3,1.8,1.5,0.46,0.26,0.31,0.64,0.4,,,,,0.52,0.51,0.48,0.26,0.32,0.44,0.64,,,,,0.54,0.51
