team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Angers SCO,1.33,1.17,4.62,4.92,3.92,4.85,10.85,13.23,70.69,106.62,33.15,50.15,44.92,55.08,0.33,0.67,6.46,7.31,4.38,5.85,1.58,1.08,8.0,6.15,7.08,9.15,12.54,11.77,4.08,2.92,1.69,1.46,0.29,0.29,0.45,0.52,0.52,0.55,0.48,0.5,0.52,0.52,0.51,0.3,0.29,0.47,0.53,0.53,0.54,0.5,0.52,0.53,0.51,0.53,France Ligue 1,2025-2026,1.69,0.69,5.86,2.86,7.14,3.14,15.0,8.5,123.71,72.93,55.93,29.93,59.07,40.93,0.67,0.67,10.0,5.5,5.0,3.0,1.29,1.86,4.93,9.0,11.64,5.29,11.0,10.0,2.29,3.57,1.09,1.36,0.62,0.24,0.17,0.48,0.55,0.52,0.51,0.52,0.51,0.5,0.53,0.64,0.24,0.18,0.57,0.5,0.5,0.54,0.53,0.52,0.52,0.52
Auxerre,1.3,1.2,5.36,4.5,3.86,4.0,10.93,10.64,88.36,96.64,42.36,39.79,42.43,57.57,0.8,0.2,7.29,7.21,3.64,3.43,1.25,2.0,6.36,7.21,6.86,6.86,13.14,14.0,3.21,2.64,1.79,3.43,0.32,0.28,0.43,0.54,0.49,,,0.52,0.51,0.5,0.53,0.33,0.28,0.44,0.52,0.55,,,0.51,0.53,0.51,0.53,France Ligue 1,2025-2026,1.69,0.77,4.57,4.36,5.29,3.86,13.43,10.07,91.64,89.57,41.36,36.64,53.93,46.07,0.5,0.5,8.0,6.43,5.43,3.64,1.36,1.64,5.64,8.0,8.86,5.79,13.5,14.29,2.36,3.57,1.79,2.36,0.52,0.27,0.24,0.52,0.51,0.55,0.48,0.51,0.52,0.5,0.53,0.54,0.28,0.24,0.54,0.53,0.54,0.51,0.53,0.51,0.53,0.52
Brest,1.91,1.55,5.0,4.0,5.69,4.92,13.77,11.0,101.46,100.62,37.31,41.46,44.62,55.38,1.0,0.5,8.46,7.0,5.31,3.92,1.33,1.67,7.92,9.31,9.0,7.62,13.69,11.38,2.15,2.85,1.85,1.92,0.38,0.28,0.37,0.56,0.47,0.53,0.49,0.51,0.51,0.51,0.52,0.39,0.28,0.38,0.49,0.58,,,0.52,0.52,0.52,0.52,France Ligue 1,2025-2026,1.86,1.0,7.14,3.36,4.86,3.86,15.21,9.21,99.36,84.29,47.57,39.07,58.29,41.71,0.33,0.67,10.57,5.86,4.64,3.36,2.07,1.07,6.64,6.79,9.21,6.0,12.0,13.0,1.86,3.71,1.36,1.93,0.47,0.28,0.28,0.55,0.48,,,0.5,0.53,0.51,0.51,0.49,0.28,0.29,0.51,0.56,0.56,0.48,0.49,0.55,0.51,0.53
LOSC Lille,1.64,1.0,6.07,3.64,5.79,3.5,14.86,9.0,108.93,79.5,57.36,35.07,54.57,45.43,1.25,0.0,11.07,5.71,3.79,3.36,1.21,1.14,5.79,8.36,9.57,6.14,10.79,13.14,2.07,3.07,1.86,1.71,0.52,0.25,0.26,0.56,0.48,,,0.54,0.49,0.52,0.5,0.53,0.26,0.27,0.5,0.58,,,0.53,0.51,0.53,0.51,France Ligue 1,2025-2026,1.54,1.92,3.93,5.29,4.07,4.0,10.64,12.93,85.14,98.71,38.64,52.21,44.29,55.71,0.75,0.25,6.29,8.43,4.36,4.5,1.58,1.75,6.71,7.36,7.29,7.79,13.29,11.07,3.0,2.57,1.93,2.57,0.36,0.26,0.41,0.57,0.47,,,0.52,0.51,0.52,0.51,0.36,0.27,0.42,0.5,0.58,,,0.53,0.51,0.52,0.52
Le Havre,1.45,1.09,5.0,3.64,5.14,4.07,12.14,10.21,88.93,95.36,45.5,44.86,47.71,52.29,0.67,0.33,7.64,6.93,4.5,3.29,2.27,2.36,6.86,8.64,8.0,6.86,13.14,14.21,2.29,2.79,1.5,2.71,0.32,0.29,0.41,0.55,0.49,0.56,0.48,0.51,0.52,0.51,0.52,0.34,0.3,0.42,0.52,0.55,0.52,0.52,0.51,0.53,0.53,0.52,France Ligue 1,2025-2026,2.0,0.73,6.0,3.69,6.69,5.38,15.69,10.54,102.15,83.08,55.92,40.23,54.23,45.77,0.67,0.33,11.15,6.23,4.54,4.31,2.5,1.75,8.08,8.92,9.17,6.5,14.23,13.69,2.54,3.31,1.46,1.85,0.6,0.25,0.19,0.52,0.52,,,0.53,0.49,0.5,0.53,0.61,0.25,0.2,0.54,0.54,,,0.52,0.52,0.52,0.52
Lens,2.23,0.46,6.15,4.69,6.54,4.38,16.31,10.62,91.69,91.15,47.92,39.92,50.46,49.54,0.67,0.33,11.62,7.38,4.69,3.23,2.33,1.17,5.77,9.62,10.83,5.67,12.92,12.54,2.0,3.75,1.67,2.75,0.58,0.24,0.21,0.58,0.45,,,,,0.54,0.48,0.59,0.24,0.22,0.49,0.58,,,,,0.55,0.5,France Ligue 1,2025-2026,1.42,1.83,3.23,5.08,4.23,5.62,12.38,13.0,98.0,92.85,43.92,44.0,50.62,49.38,0.83,0.33,7.62,9.62,4.77,3.38,1.18,2.09,7.69,6.54,7.31,8.85,12.31,13.62,2.85,3.31,2.08,2.31,0.33,0.26,0.44,0.59,0.44,,,0.53,0.5,0.54,0.49,0.34,0.26,0.45,0.47,0.6,,,0.53,0.51,0.52,0.52
Lorient,1.93,1.43,2.86,5.36,4.93,3.5,11.86,9.93,83.71,111.43,40.29,50.29,45.43,54.57,0.5,0.75,7.79,6.86,4.07,3.07,2.0,1.0,6.07,6.07,8.0,6.36,9.64,12.5,2.71,2.57,2.0,2.69,0.35,0.28,0.4,0.55,0.49,,,0.51,0.51,0.51,0.52,0.36,0.28,0.41,0.51,0.56,,,0.53,0.52,0.52,0.52,France Ligue 1,2025-2026,1.62,0.62,5.07,3.64,5.0,4.64,11.79,10.43,112.07,83.29,57.57,37.64,55.36,44.64,0.5,0.5,7.86,6.29,3.93,4.14,1.08,1.23,6.71,8.79,7.29,7.0,14.64,10.14,2.57,2.21,2.0,1.5,0.52,0.27,0.24,0.54,0.5,0.55,0.48,0.52,0.51,0.52,0.51,0.54,0.27,0.24,0.52,0.55,0.55,0.5,0.53,0.51,0.52,0.53
Metz,1.18,2.09,4.71,3.93,4.5,4.5,11.86,12.0,91.36,93.86,42.86,38.64,50.79,49.21,0.75,0.5,7.0,7.0,4.86,5.0,2.09,1.73,7.0,5.79,8.07,8.64,12.07,11.07,2.79,3.0,1.58,1.75,0.26,0.26,0.51,0.56,0.48,,,0.54,0.49,0.5,0.53,0.26,0.26,0.52,0.5,0.57,,,0.53,0.51,0.53,0.51,France Ligue 1,2025-2026,2.85,1.0,6.14,3.64,7.5,3.36,18.29,7.93,101.29,72.57,51.21,29.07,51.64,48.36,0.83,0.33,12.71,5.29,5.57,2.64,1.77,1.15,5.29,9.71,13.5,5.0,11.57,10.64,1.64,4.79,1.36,1.93,0.64,0.22,0.17,0.54,0.49,,,0.54,0.5,0.52,0.51,0.66,0.22,0.18,0.52,0.55,,,0.53,0.52,0.52,0.52
Monaco,2.07,1.43,4.5,4.43,4.57,4.64,12.43,12.43,105.07,92.0,47.57,40.79,52.29,47.71,1.0,0.75,9.21,8.64,3.21,3.79,3.0,1.67,7.5,8.21,9.0,7.21,12.57,11.29,2.79,2.79,1.93,1.71,0.56,0.23,0.24,0.62,0.42,,,,,,,0.58,0.23,0.25,0.44,0.63,,,,,,,France Ligue 1,2025-2026,1.91,1.45,4.46,5.31,5.92,5.0,14.92,12.77,99.85,105.38,44.62,52.92,47.92,52.08,0.5,0.5,8.77,10.0,6.15,2.77,0.83,2.33,8.0,8.23,9.92,8.46,10.38,13.54,2.85,2.77,1.46,2.85,0.32,0.25,0.46,0.63,0.4,,,,,0.54,0.49,0.33,0.26,0.47,0.43,0.64,,,,,0.54,0.51
Nantes,0.92,2.0,3.15,5.23,5.46,5.15,11.54,13.38,89.69,100.31,40.54,45.77,45.08,54.92,1.0,0.5,6.85,9.85,4.69,3.54,0.83,2.33,8.15,7.85,7.69,9.62,12.15,13.46,2.92,2.54,1.92,2.38,0.28,0.27,0.47,0.55,0.49,0.49,0.54,0.52,0.5,0.51,0.52,0.3,0.28,0.48,0.51,0.56,0.53,0.51,0.54,0.5,0.51,0.53,France Ligue 1,2025-2026,1.73,0.91,6.07,2.93,5.64,3.71,14.5,9.29,105.29,73.07,53.93,28.0,58.36,41.64,0.67,0.33,9.64,6.0,4.86,3.29,3.43,1.79,5.0,8.21,9.29,5.29,14.36,12.93,2.0,3.57,2.29,2.21,0.58,0.25,0.2,0.52,0.52,,,0.52,0.5,0.51,0.52,0.61,0.25,0.2,0.53,0.54,0.56,0.49,0.53,0.51,0.52,0.52
