team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Bayer 04 Leverkusen,2.18,0.91,6.0,3.73,6.82,3.82,15.82,9.73,118.36,84.18,49.82,39.45,61.55,38.45,1.0,0.5,9.45,6.0,6.45,3.73,1.6,1.2,6.18,8.73,11.64,7.55,8.82,10.45,2.73,3.36,2.09,2.64,0.55,0.24,0.23,0.61,0.42,,,,,0.54,0.49,0.56,0.25,0.24,0.46,0.61,,,,,0.53,0.52,Germany Bundesliga,2025-2026,1.67,1.92,5.33,4.17,5.58,4.67,14.83,12.0,97.25,107.08,49.33,47.08,42.67,57.33,1.0,1.0,9.33,7.67,5.5,4.33,1.17,1.0,7.5,8.0,9.83,7.58,11.83,8.92,2.0,4.33,2.42,2.42,0.36,0.26,0.4,0.64,0.39,,,,,0.54,0.49,0.38,0.26,0.42,0.43,0.65,,,,,0.53,0.51
Borussia Dortmund,2.36,0.73,7.18,4.0,4.82,4.55,14.36,9.91,114.09,77.82,57.09,34.82,56.0,44.0,1.33,0.0,9.91,6.73,4.45,3.18,1.09,2.0,6.82,8.45,9.82,5.36,11.36,9.55,2.27,3.18,1.7,1.4,0.67,0.21,0.16,0.59,0.44,,,,,0.53,0.49,0.67,0.21,0.18,0.46,0.61,,,,,0.54,0.5,Germany Bundesliga,2025-2026,1.08,1.92,5.42,3.75,4.92,4.33,11.75,12.17,91.0,102.58,51.08,62.17,47.33,52.67,0.67,0.67,8.5,9.08,3.25,3.08,2.58,1.25,7.08,6.67,8.25,7.75,11.17,11.67,2.25,2.92,1.92,2.0,0.29,0.25,0.49,0.63,0.41,,,0.54,0.48,0.52,0.51,0.3,0.25,0.5,0.45,0.62,,,0.56,0.5,0.53,0.52
Borussia Mönchengladbach,1.62,2.62,3.91,4.36,4.27,6.55,10.91,15.73,87.27,118.27,37.45,54.73,45.09,54.91,1.0,0.4,6.64,8.82,4.27,7.0,1.73,2.18,8.45,5.27,6.73,11.36,10.64,9.09,3.09,2.73,1.09,1.73,0.38,0.26,0.39,0.65,0.39,,,,,0.53,0.5,0.39,0.26,0.4,0.42,0.65,,,,,0.54,0.5,Germany Bundesliga,2025-2026,1.82,1.18,5.42,4.58,4.92,4.17,14.5,11.42,120.17,82.0,51.67,33.67,56.0,44.0,0.67,0.33,9.67,8.25,4.75,3.25,1.83,1.83,6.08,6.83,10.17,7.33,12.42,12.08,3.17,4.75,2.33,1.42,0.51,0.25,0.27,0.61,0.42,,,,,0.52,0.5,0.52,0.25,0.28,0.44,0.63,,,,,0.53,0.52
Eintracht Frankfurt,1.83,1.5,5.0,3.83,3.92,4.58,12.67,10.67,93.08,102.25,43.42,42.67,51.58,48.42,1.0,0.0,8.83,7.58,3.83,3.08,1.5,3.0,7.17,7.33,9.17,8.33,10.25,10.33,1.75,3.25,1.5,2.67,0.44,0.25,0.34,0.63,0.4,,,,,0.52,0.5,0.46,0.25,0.35,0.44,0.64,,,,,0.54,0.51,Germany Bundesliga,2025-2026,2.55,2.18,4.5,3.83,5.25,3.58,13.17,10.5,91.92,108.67,43.5,44.83,43.92,56.08,1.0,0.0,9.25,7.33,3.92,3.17,2.75,0.92,6.0,8.08,10.33,7.08,9.33,11.33,1.67,2.92,2.0,2.5,0.41,0.27,0.35,0.64,0.4,,,0.55,0.48,0.5,0.53,0.42,0.27,0.36,0.42,0.65,,,0.52,0.52,0.53,0.52
FC Augsburg,1.36,1.73,5.42,5.17,4.67,5.25,12.25,14.33,99.42,95.25,42.08,45.58,47.17,52.83,0.5,0.5,7.92,9.75,4.33,4.58,2.0,1.73,8.33,6.67,6.5,7.75,11.5,12.0,2.25,3.25,2.5,2.0,0.35,0.27,0.41,0.6,0.44,0.54,0.49,0.51,0.52,0.52,0.51,0.36,0.27,0.42,0.48,0.6,0.48,0.56,0.51,0.54,0.52,0.52,Germany Bundesliga,2025-2026,2.0,1.0,4.73,3.55,4.73,6.0,13.45,13.45,112.18,91.73,51.09,35.55,56.0,44.0,0.86,0.29,9.73,7.82,3.73,5.45,2.27,2.64,7.55,8.73,10.64,9.73,12.64,11.73,3.18,3.36,1.45,2.64,0.56,0.24,0.23,0.59,0.45,,,0.54,0.49,0.53,0.5,0.57,0.24,0.24,0.48,0.59,,,0.54,0.5,0.52,0.52
FC Bayern München,4.08,0.92,6.75,3.08,6.5,3.58,20.08,9.25,136.58,60.5,69.58,27.67,67.75,32.25,1.2,0.0,13.67,5.58,6.42,3.58,2.08,1.5,5.83,9.08,13.92,5.75,9.33,8.83,1.67,4.92,1.5,1.17,0.85,0.11,0.07,0.56,0.49,,,,,,,0.86,0.12,0.08,0.5,0.57,,,,,,,Germany Bundesliga,2025-2026,0.82,3.36,3.64,5.82,5.18,4.36,10.45,17.55,68.55,132.64,31.91,67.82,33.0,67.0,0.4,0.8,7.27,12.27,3.09,5.27,2.09,3.0,7.0,5.82,6.64,11.91,9.27,8.82,4.91,1.64,2.11,2.67,0.12,0.16,0.75,0.63,0.41,,,,,,,0.13,0.17,0.76,0.44,0.64,,,,,,
FC Köln,1.67,1.58,4.83,4.42,5.17,4.67,13.92,12.5,97.17,106.5,46.42,43.25,47.42,52.58,0.0,1.0,9.42,8.67,4.42,3.83,2.83,2.67,7.42,8.17,9.75,9.0,7.92,11.75,2.75,3.0,1.6,3.0,0.37,0.26,0.4,0.63,0.4,,,0.53,0.49,0.52,0.51,0.38,0.27,0.41,0.43,0.64,,,0.55,0.5,0.54,0.5,Germany Bundesliga,2025-2026,1.82,1.09,7.09,3.91,5.73,5.27,16.0,12.55,99.73,88.73,52.73,40.36,53.73,46.27,1.5,0.5,11.09,8.27,4.91,4.18,1.7,1.1,7.82,10.36,9.64,8.27,10.09,8.91,2.82,3.55,1.91,1.91,0.52,0.25,0.26,0.64,0.4,,,,,0.54,0.49,0.54,0.25,0.27,0.43,0.65,,,,,0.53,0.52
FC Union Berlin,1.7,2.1,5.0,4.25,6.08,4.5,12.17,11.67,90.5,110.67,41.0,42.67,37.25,62.75,0.6,0.6,8.58,8.0,3.5,3.75,1.58,1.33,6.58,8.08,9.25,9.5,12.83,12.0,2.58,2.17,2.58,2.17,0.38,0.28,0.38,0.55,0.49,,,0.52,0.5,0.5,0.53,0.39,0.28,0.38,0.51,0.56,,,0.52,0.52,0.52,0.53,Germany Bundesliga,2025-2026,1.82,1.09,4.0,5.45,4.73,6.09,12.55,13.55,111.36,90.27,42.91,43.55,59.91,40.09,0.5,0.5,7.73,10.45,4.82,3.09,1.3,1.6,8.82,8.55,8.91,7.73,10.09,12.18,2.27,2.45,2.2,1.5,0.5,0.28,0.26,0.55,0.48,0.54,0.49,0.51,0.52,0.52,0.5,0.51,0.28,0.27,0.51,0.56,0.53,0.51,0.53,0.51,0.53,0.52
FSV Mainz 05,1.27,1.36,6.33,3.58,5.08,4.92,13.42,12.58,114.0,98.17,57.17,36.5,48.0,52.0,1.67,0.33,10.5,8.67,2.92,3.92,2.5,0.92,7.0,8.67,7.92,7.83,11.42,10.42,2.58,2.42,1.75,1.83,0.43,0.27,0.33,0.62,0.42,,,0.51,0.52,0.52,0.51,0.44,0.28,0.34,0.45,0.62,,,0.51,0.53,0.53,0.51,Germany Bundesliga,2025-2026,2.18,1.18,5.18,3.82,6.36,3.64,17.27,9.27,117.64,93.55,53.27,42.64,59.55,40.45,0.25,0.75,12.45,6.91,4.91,2.36,2.3,2.4,5.45,8.27,10.91,6.27,9.64,10.82,2.18,4.36,1.91,2.91,0.53,0.25,0.26,0.6,0.43,,,0.51,0.52,0.53,0.49,0.54,0.25,0.27,0.46,0.61,,,0.51,0.53,0.53,0.51
Hamburger SV,1.58,1.33,3.69,5.77,5.31,4.92,13.62,12.46,84.77,110.62,38.46,54.92,45.15,54.85,0.5,0.5,9.62,8.15,4.08,4.38,1.69,1.31,8.85,7.31,9.77,8.31,12.0,13.0,2.46,3.54,2.42,2.75,0.35,0.27,0.41,0.62,0.42,,,0.52,0.51,0.53,0.5,0.36,0.27,0.42,0.45,0.62,,,0.51,0.53,0.53,0.51,Germany Bundesliga,2025-2026,2.38,1.0,4.64,4.0,6.45,4.0,15.18,11.45,98.55,81.82,44.0,32.27,51.91,48.09,0.8,0.6,9.82,7.36,5.36,4.09,1.36,2.55,6.91,9.18,10.27,7.73,12.82,12.0,3.55,3.82,1.82,2.64,0.51,0.25,0.27,0.59,0.44,0.52,0.51,0.49,0.54,0.51,0.52,0.52,0.26,0.28,0.47,0.61,0.52,0.52,0.5,0.55,0.53,0.51
