team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
DSC Arminia Bielefeld,2.17,1.42,6.46,3.62,6.46,4.69,16.38,11.08,100.08,84.31,52.31,37.38,53.92,46.08,1.0,0.0,11.0,6.62,5.38,4.46,2.54,1.69,7.23,9.77,10.77,7.23,13.0,14.08,2.31,3.0,2.0,2.77,0.45,0.27,0.31,0.64,0.4,,,0.55,0.48,0.52,0.51,0.46,0.28,0.33,0.44,0.64,,,0.5,0.56,0.53,0.53,Germany Bundesliga 2,2025-2026,1.71,1.07,5.5,5.64,6.0,4.79,15.36,12.86,97.07,99.43,45.43,49.86,50.57,49.43,1.0,0.75,10.71,7.79,4.5,5.14,1.57,1.57,8.14,7.29,11.86,8.07,12.79,12.71,2.5,3.86,2.58,2.42,0.44,0.27,0.32,0.62,0.42,,,0.55,0.48,0.52,0.51,0.46,0.28,0.33,0.44,0.63,,,0.5,0.56,0.55,0.51
Darmstadt 98,2.25,0.92,5.21,5.43,6.07,5.79,14.93,12.86,90.36,80.43,46.21,45.86,51.36,48.64,0.5,0.5,10.57,7.36,4.29,5.57,1.57,1.29,7.93,8.64,9.0,7.36,11.57,12.14,2.64,3.71,1.86,1.64,0.51,0.26,0.26,0.63,0.41,,,,,0.54,0.5,0.52,0.27,0.28,0.44,0.63,,,,,0.53,0.53,Germany Bundesliga 2,2025-2026,1.58,1.67,5.85,4.38,6.92,5.15,16.54,11.92,101.77,88.54,57.62,36.38,50.23,49.77,0.67,0.33,9.92,8.0,6.54,3.69,1.75,1.58,6.62,9.46,11.23,8.31,10.23,11.85,2.62,4.0,1.67,1.83,0.42,0.28,0.34,0.63,0.41,,,,,0.52,0.51,0.43,0.28,0.35,0.43,0.64,,,,,0.53,0.52
Dynamo Dresden,1.54,1.46,5.15,4.92,5.08,4.77,12.38,13.46,86.85,98.69,43.23,42.23,49.46,50.54,0.4,0.8,7.85,9.46,3.92,4.0,2.08,1.5,6.69,7.31,8.33,7.67,9.92,12.46,2.38,2.38,2.0,2.54,0.4,0.28,0.35,0.62,0.42,,,0.55,0.48,0.51,0.53,0.41,0.28,0.37,0.45,0.63,,,0.5,0.56,0.53,0.52,Germany Bundesliga 2,2025-2026,1.86,1.57,6.29,5.14,8.0,5.36,16.0,13.57,100.5,95.43,52.21,43.64,50.93,49.07,1.33,0.0,11.0,8.14,4.86,5.43,0.83,1.67,7.43,9.57,10.5,8.14,10.71,10.64,3.0,2.43,1.54,1.77,0.5,0.27,0.27,0.62,0.42,,,,,0.53,0.5,0.51,0.28,0.29,0.45,0.63,,,,,0.54,0.51
Eintracht Braunschweig,1.13,1.6,4.6,5.73,5.27,4.93,13.0,13.87,96.93,95.53,38.53,45.33,41.8,58.2,1.0,0.0,7.93,9.6,4.87,4.2,2.07,1.21,8.2,7.67,8.4,8.13,11.6,13.73,2.8,2.87,2.2,3.33,0.34,0.28,0.41,0.61,0.43,,,0.53,0.51,0.52,0.51,0.35,0.28,0.43,0.46,0.62,,,0.52,0.53,0.53,0.52,Germany Bundesliga 2,2025-2026,1.83,1.08,5.92,5.31,4.85,5.54,12.31,12.85,86.77,102.38,44.85,46.38,51.46,48.54,1.0,0.0,8.31,6.92,3.69,5.92,1.17,1.08,7.31,7.54,8.46,6.92,13.31,12.62,2.85,2.69,2.54,2.54,0.55,0.26,0.23,0.59,0.45,,,0.55,0.48,0.52,0.52,0.55,0.27,0.25,0.48,0.6,,,0.51,0.55,0.55,0.52
Elversberg,1.75,1.0,7.0,4.15,6.54,4.23,17.0,10.23,105.31,80.54,60.77,35.92,55.23,44.77,0.67,0.33,10.92,6.77,6.15,3.38,2.0,1.0,6.62,9.92,10.69,6.31,10.54,12.31,2.38,3.38,1.45,2.45,0.51,0.26,0.26,0.63,0.41,,,,,0.54,0.5,0.52,0.26,0.29,0.44,0.63,,,,,0.55,0.51,Germany Bundesliga 2,2025-2026,1.29,1.71,4.79,5.93,4.86,4.93,12.29,14.43,88.79,95.5,43.29,47.07,46.86,53.14,0.2,1.0,8.93,10.0,3.29,4.36,1.21,1.93,7.93,6.79,8.07,10.14,14.07,10.43,3.29,3.07,3.43,2.57,0.35,0.28,0.4,0.62,0.42,,,,,0.52,0.51,0.36,0.29,0.42,0.44,0.64,,,,,0.53,0.53
Fortuna Düsseldorf,1.17,1.92,4.36,3.29,5.21,4.21,12.5,12.71,95.93,84.79,52.07,36.57,52.29,47.71,0.0,1.0,7.71,8.36,4.79,4.29,2.0,1.5,5.79,8.86,7.71,8.0,12.36,10.93,3.64,2.71,3.33,2.5,0.43,0.27,0.33,0.63,0.41,,,,,0.53,0.51,0.44,0.28,0.35,0.43,0.64,,,,,0.54,0.52,Germany Bundesliga 2,2025-2026,1.46,0.77,5.69,4.15,5.62,5.23,15.23,12.85,105.38,92.23,51.77,41.46,55.0,45.0,0.67,0.33,9.92,8.92,5.23,3.92,1.92,1.62,8.23,8.62,9.38,8.15,11.92,12.23,2.77,3.08,2.08,2.67,0.46,0.26,0.31,0.62,0.42,,,,,0.52,0.51,0.47,0.27,0.33,0.44,0.63,,,0.54,0.51,0.52,0.52
Hannover 96,1.67,1.33,8.08,3.31,6.31,5.15,16.85,11.54,106.77,81.23,56.92,35.15,57.31,42.69,0.83,0.33,11.54,6.85,5.23,4.77,1.91,0.45,5.92,8.54,11.46,7.23,12.69,13.69,2.62,4.38,1.77,2.69,0.55,0.25,0.23,0.61,0.43,,,,,0.54,0.5,0.57,0.26,0.24,0.45,0.62,,,,,0.53,0.53,Germany Bundesliga 2,2025-2026,1.36,2.0,4.43,4.64,4.79,4.21,12.43,12.36,87.14,101.36,38.64,46.64,45.57,54.43,0.5,0.5,7.29,9.07,5.14,3.29,0.77,2.08,7.14,6.79,7.79,8.71,13.43,12.79,3.36,3.0,2.14,2.29,0.35,0.27,0.42,0.64,0.4,,,,,0.53,0.51,0.36,0.28,0.43,0.43,0.64,,,,,0.55,0.51
Hertha BSC,1.08,1.23,4.93,5.33,5.73,5.67,13.07,13.33,97.93,94.47,45.27,40.2,50.33,49.67,0.6,0.4,9.2,8.8,3.87,4.53,1.47,0.8,8.13,8.6,9.6,8.8,11.73,10.2,2.73,3.6,2.07,2.0,0.49,0.27,0.27,0.62,0.42,,,0.55,0.48,0.51,0.52,0.5,0.27,0.29,0.45,0.63,,,0.5,0.56,0.55,0.51,Germany Bundesliga 2,2025-2026,1.08,2.25,5.92,4.0,6.0,4.92,14.23,12.15,98.92,92.38,48.54,45.77,52.38,47.62,0.33,0.67,9.31,8.31,4.85,3.85,0.77,2.31,7.77,8.77,9.38,9.08,12.15,13.38,2.38,3.31,2.54,2.69,0.4,0.27,0.36,0.64,0.4,,,,,0.54,0.5,0.41,0.28,0.38,0.42,0.65,,,,,0.51,0.55
Holstein Kiel,1.25,1.25,6.15,4.92,6.31,4.77,13.54,12.38,93.77,101.46,47.15,45.31,54.54,45.46,0.5,0.5,8.54,7.92,4.85,4.46,2.0,2.08,7.31,8.23,9.46,7.62,13.0,14.15,2.69,2.69,2.15,3.15,0.45,0.27,0.3,0.61,0.43,,,0.52,0.51,0.52,0.51,0.46,0.28,0.33,0.46,0.62,,,0.54,0.51,0.55,0.51,Germany Bundesliga 2,2025-2026,1.71,1.36,5.43,4.0,6.5,4.71,16.43,10.86,105.57,73.29,56.71,31.86,52.79,47.21,0.83,0.5,10.57,6.93,6.0,3.93,2.15,1.38,7.36,10.07,11.5,7.21,12.64,15.79,1.86,3.5,2.36,3.64,0.44,0.28,0.31,0.61,0.43,,,0.55,0.49,0.53,0.5,0.46,0.28,0.33,0.45,0.63,,,0.5,0.56,0.53,0.53
Kaiserslautern,2.29,1.07,5.5,3.86,5.93,5.57,16.07,12.21,101.64,92.93,49.29,38.21,49.07,50.93,0.4,0.8,11.64,7.43,4.5,4.79,1.62,1.85,8.36,8.14,10.36,8.43,11.36,13.21,2.64,3.93,2.69,3.54,0.42,0.27,0.35,0.64,0.4,,,,,0.54,0.49,0.43,0.28,0.36,0.42,0.65,,,,,0.54,0.52,Germany Bundesliga 2,2025-2026,1.83,1.08,6.31,4.23,6.23,4.54,16.0,10.46,102.54,84.69,48.62,34.92,54.62,45.38,0.75,0.25,10.69,6.77,5.31,3.62,1.42,1.17,6.69,10.23,11.62,7.31,12.77,12.23,2.31,4.31,2.23,2.54,0.45,0.27,0.31,0.64,0.4,,,,,0.52,0.51,0.47,0.28,0.32,0.43,0.64,,,,,0.54,0.52
