team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AVS,0.83,1.92,3.62,5.15,4.38,5.15,11.31,13.69,81.77,103.62,36.38,49.15,41.0,59.0,0.4,0.8,6.54,9.38,4.69,4.31,1.83,2.5,8.54,7.62,7.69,9.69,14.46,12.77,3.23,2.69,2.62,3.15,0.26,0.27,0.5,0.51,0.53,0.56,0.48,0.51,0.53,0.52,0.52,0.27,0.28,0.51,0.56,0.52,0.56,0.49,0.51,0.54,0.52,0.52,Liga Portugal,2025-2026,3.09,0.73,6.58,3.42,6.75,4.58,15.92,10.08,110.33,81.0,54.5,35.17,60.0,40.0,0.75,0.5,10.83,5.42,5.08,4.67,1.75,1.08,7.5,11.42,12.33,6.08,10.17,13.25,1.58,3.0,2.0,2.0,0.67,0.22,0.15,0.45,0.59,0.55,0.48,0.5,0.53,0.52,0.51,0.68,0.23,0.16,0.62,0.45,0.52,0.53,0.51,0.54,0.52,0.52
Alverca,0.92,1.33,4.38,2.77,4.38,5.0,10.92,12.46,83.54,97.46,45.38,47.0,48.62,51.38,0.78,0.33,7.08,6.31,3.85,6.15,1.0,1.15,8.38,7.0,7.08,8.69,13.08,14.85,2.54,2.85,2.0,1.92,0.34,0.29,0.4,0.49,0.55,0.53,0.5,0.51,0.52,0.5,0.53,0.36,0.29,0.41,0.58,0.5,0.53,0.51,0.51,0.53,0.51,0.54,Liga Portugal,2025-2026,1.92,1.08,6.08,3.5,5.75,2.67,15.5,7.67,110.33,77.42,58.17,31.0,59.5,40.5,0.67,0.33,10.33,4.83,5.17,2.75,1.36,1.09,4.67,8.25,9.42,5.17,13.33,12.33,2.0,3.17,2.92,2.92,0.52,0.26,0.24,0.48,0.56,0.54,0.5,0.5,0.53,0.51,0.52,0.54,0.27,0.25,0.58,0.49,0.54,0.51,0.51,0.53,0.51,0.53
Arouca,1.42,1.92,4.17,5.58,4.17,5.08,10.33,13.25,85.42,89.33,31.5,43.17,50.42,49.58,0.0,1.0,6.5,9.58,3.75,3.67,1.36,2.18,7.92,7.67,7.58,8.75,14.33,12.58,2.75,2.67,3.25,2.58,0.31,0.27,0.46,0.52,0.52,0.56,0.47,0.52,0.52,0.5,0.53,0.32,0.27,0.46,0.54,0.52,0.56,0.49,0.52,0.52,0.51,0.54,Liga Portugal,2025-2026,2.5,1.25,4.46,3.08,4.77,4.77,14.08,10.0,95.38,85.23,40.54,36.23,49.46,50.54,1.6,0.0,8.85,5.08,5.23,4.92,3.08,1.46,7.23,8.77,9.92,6.23,12.15,13.31,1.85,3.15,2.23,2.23,0.54,0.26,0.24,0.51,0.53,0.56,0.48,0.52,0.51,0.5,0.54,0.55,0.26,0.25,0.55,0.52,0.55,0.49,0.52,0.52,0.52,0.52
Benfica,2.31,0.77,7.0,2.38,6.08,2.38,17.69,7.23,120.77,76.54,70.23,28.46,59.92,40.08,1.33,0.17,11.69,4.23,6.0,3.0,2.0,0.62,4.38,9.69,11.69,4.38,11.23,16.54,2.31,4.54,2.0,2.83,0.77,0.17,0.11,0.44,0.6,0.53,0.51,0.52,0.51,0.49,0.55,0.77,0.17,0.12,0.62,0.45,0.53,0.51,0.54,0.51,0.5,0.54,Liga Portugal,2025-2026,0.6,2.3,2.92,5.83,4.08,6.42,9.5,15.92,75.92,112.92,31.08,58.33,42.17,57.83,0.33,0.67,4.5,10.08,4.92,5.83,0.8,0.8,9.42,7.0,5.92,9.92,15.25,10.83,3.33,2.08,3.33,2.25,0.15,0.2,0.68,0.47,0.57,,,0.53,0.5,0.52,0.52,0.16,0.22,0.68,0.59,0.48,,,0.52,0.52,0.51,0.53
Casa Pia,1.45,2.0,2.83,5.83,3.0,4.5,7.67,13.75,78.25,97.25,32.33,47.25,43.75,56.25,0.6,1.0,4.5,8.67,3.17,5.08,0.83,1.5,8.5,5.75,5.67,8.42,16.67,14.25,2.83,1.42,3.0,2.58,0.31,0.3,0.42,0.48,0.56,0.53,0.5,0.49,0.54,0.52,0.52,0.33,0.3,0.43,0.58,0.49,0.52,0.52,0.51,0.53,0.52,0.53,Liga Portugal,2025-2026,2.0,0.91,6.15,4.38,6.0,4.08,14.54,9.15,98.0,70.08,47.08,29.31,58.38,41.62,1.0,0.25,8.38,5.77,6.08,3.38,2.31,1.92,6.69,10.0,10.31,6.62,14.08,14.54,2.15,2.92,2.46,3.08,0.59,0.25,0.2,0.47,0.58,0.54,0.49,0.5,0.53,0.52,0.51,0.6,0.26,0.21,0.59,0.48,0.54,0.5,0.49,0.55,0.52,0.52
Estoril,2.17,1.42,4.31,4.92,4.85,4.46,12.15,10.46,107.46,90.69,43.62,37.54,53.38,46.62,0.33,0.67,7.69,7.08,4.46,3.38,1.23,2.69,8.77,9.46,8.85,7.92,11.92,12.08,2.85,2.92,3.08,1.92,0.41,0.27,0.35,0.55,0.49,0.52,0.51,0.54,0.5,0.52,0.52,0.42,0.28,0.36,0.53,0.55,0.5,0.55,0.52,0.52,0.53,0.52,Liga Portugal,2025-2026,2.08,1.67,4.42,4.5,5.75,4.67,13.33,12.0,92.0,98.25,44.58,49.0,48.25,51.75,0.57,0.57,8.67,7.92,4.67,4.08,2.67,1.58,8.17,7.67,9.58,8.17,12.67,13.42,2.5,2.33,2.42,2.33,0.53,0.25,0.26,0.54,0.5,0.56,0.48,0.53,0.51,0.52,0.52,0.53,0.26,0.27,0.52,0.55,0.55,0.5,0.53,0.51,0.5,0.54
Estrela Amadora,1.33,1.75,3.69,4.85,5.92,5.23,13.38,12.54,83.77,90.77,33.54,42.46,52.69,47.31,0.29,0.71,6.85,8.31,6.54,4.23,2.25,0.67,7.69,9.46,8.69,8.08,13.85,16.08,2.62,2.69,2.46,2.77,0.32,0.3,0.42,0.51,0.53,0.53,0.5,0.5,0.53,0.52,0.52,0.33,0.3,0.43,0.56,0.51,0.55,0.5,0.52,0.52,0.52,0.52,Liga Portugal,2025-2026,2.44,1.33,6.33,2.83,4.92,2.5,14.83,7.83,108.42,66.92,57.0,25.17,56.83,43.17,1.2,0.6,9.33,4.17,5.5,3.67,1.42,1.67,4.5,9.08,8.83,5.5,14.58,15.67,2.25,3.67,2.42,2.58,0.62,0.25,0.18,0.46,0.58,0.54,0.5,0.52,0.52,0.49,0.54,0.62,0.25,0.19,0.59,0.48,0.54,0.51,0.52,0.52,0.51,0.54
Famalicão,2.0,0.82,5.0,5.08,5.08,4.46,14.23,10.54,93.62,80.46,46.69,37.92,53.08,46.92,,,9.54,6.92,4.69,3.54,1.58,2.25,7.0,8.85,9.77,7.54,15.77,16.31,2.92,3.62,2.69,2.31,0.5,0.26,0.28,0.5,0.54,0.52,0.51,0.52,0.51,0.51,0.52,0.51,0.26,0.28,0.55,0.52,0.53,0.51,0.52,0.52,0.52,0.52,Liga Portugal,2025-2026,1.09,0.73,5.25,4.92,5.25,4.58,12.75,10.67,90.25,85.08,40.75,46.0,50.67,49.33,1.25,0.0,6.83,7.25,5.83,3.42,2.0,0.83,6.75,8.58,8.5,6.58,16.83,17.83,2.33,3.25,2.17,2.42,0.36,0.28,0.4,0.52,0.52,0.55,0.48,0.51,0.52,0.51,0.52,0.37,0.29,0.41,0.55,0.52,0.53,0.51,0.51,0.54,0.52,0.53
Gil Vicente,1.67,0.83,5.5,3.42,6.0,5.17,15.33,10.17,86.17,82.33,49.83,37.08,48.67,51.33,1.5,0.25,8.0,5.75,7.33,4.42,1.25,1.17,7.17,9.5,10.17,7.08,13.75,14.92,2.0,3.08,2.0,2.5,0.39,0.28,0.36,0.48,0.56,0.53,0.51,0.53,0.51,0.5,0.54,0.4,0.29,0.37,0.59,0.48,0.52,0.52,0.51,0.53,0.52,0.52,Liga Portugal,2025-2026,1.36,1.55,3.92,6.0,4.0,4.77,9.69,13.46,81.31,91.92,34.31,44.23,49.46,50.54,0.57,0.57,6.85,8.0,2.85,5.38,2.0,1.69,7.15,5.92,7.23,7.46,14.62,13.92,3.23,3.0,2.75,3.0,0.39,0.29,0.36,0.47,0.56,0.5,0.52,0.51,0.53,0.5,0.53,0.4,0.3,0.37,0.59,0.49,0.52,0.52,0.5,0.55,0.52,0.53
Moreirense,1.33,1.42,4.17,5.25,3.08,5.08,8.5,13.5,68.17,98.08,27.83,43.25,49.08,50.92,0.0,1.0,5.08,8.58,3.42,4.83,1.09,2.64,7.75,5.5,5.92,9.33,14.33,14.67,3.33,1.75,2.83,1.83,0.31,0.28,0.44,0.48,0.56,0.53,0.5,0.5,0.53,0.54,0.5,0.32,0.29,0.45,0.58,0.49,0.55,0.49,0.5,0.54,0.52,0.52,Liga Portugal,2025-2026,1.5,1.25,3.69,3.46,5.23,3.23,13.31,9.23,108.38,79.08,44.77,32.69,49.92,50.08,1.33,0.17,8.23,5.69,5.08,3.54,1.08,1.75,5.31,8.92,8.92,6.23,16.62,14.46,2.46,2.92,2.31,2.62,0.45,0.3,0.28,0.49,0.55,0.51,0.53,0.51,0.52,0.52,0.51,0.47,0.3,0.29,0.59,0.48,0.52,0.52,0.52,0.52,0.52,0.52
