team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
AZ,2.17,1.67,5.92,3.83,5.42,4.0,16.08,11.58,103.83,96.58,50.42,40.5,51.67,48.33,1.0,0.25,11.75,7.83,4.25,3.67,1.36,1.0,6.5,8.75,11.25,8.25,9.5,11.92,2.5,4.08,1.75,1.83,0.63,0.2,0.2,0.6,0.44,,,,,0.55,0.51,0.64,0.21,0.21,0.46,0.61,,,,,,,Netherlands Eredivisie,2025-2026,1.6,1.2,4.53,5.53,4.8,5.13,13.27,15.0,100.47,96.07,40.67,43.8,46.47,53.53,0.43,0.57,8.67,9.13,4.6,5.87,1.73,1.0,7.8,7.87,8.47,10.47,11.4,11.07,4.47,3.27,1.47,2.47,0.32,0.24,0.46,0.64,0.4,,,,,0.51,0.52,0.34,0.25,0.47,0.43,0.65,,,,,0.53,0.52
Ajax,2.08,0.77,5.54,4.15,5.62,4.54,17.38,11.62,104.54,90.85,58.15,40.23,57.0,43.0,0.0,1.0,12.54,7.0,4.85,4.54,1.69,1.46,6.15,7.0,11.85,7.62,10.54,13.54,3.0,4.85,1.45,2.0,0.66,0.2,0.18,0.59,0.45,,,,,,,0.67,0.2,0.19,0.46,0.61,,,,,,,Netherlands Eredivisie,2025-2026,1.85,1.92,5.5,4.36,4.93,4.36,14.0,12.71,95.36,99.14,46.21,47.36,42.71,57.29,0.75,0.25,8.5,8.57,5.5,4.21,1.85,1.23,7.29,7.07,8.93,8.43,11.0,10.21,3.43,3.36,1.64,2.07,0.34,0.25,0.45,0.65,0.39,,,,,,,0.35,0.25,0.46,0.42,0.65,,,,,,
Excelsior,1.0,1.36,4.36,4.64,5.21,5.29,13.07,15.21,103.21,100.21,42.0,46.21,47.43,52.57,0.75,0.25,8.64,10.0,4.57,5.29,1.29,1.64,9.21,7.79,7.64,9.71,11.64,8.79,4.0,3.0,1.62,1.46,0.35,0.26,0.43,0.63,0.41,,,,,0.53,0.5,0.36,0.26,0.44,0.44,0.64,,,,,0.55,0.51,Netherlands Eredivisie,2025-2026,2.17,1.17,6.62,4.08,5.0,4.15,15.08,11.15,110.69,91.62,56.69,38.92,54.85,45.15,1.0,0.67,10.23,7.38,4.77,3.69,2.23,0.46,6.38,8.08,10.85,7.0,9.0,13.23,2.85,4.15,1.75,1.5,0.62,0.22,0.2,0.61,0.43,,,,,0.53,0.5,0.63,0.22,0.21,0.46,0.61,,,,,0.54,0.52
FC Groningen,1.77,1.08,7.07,4.71,6.21,4.0,16.71,10.57,114.79,84.21,49.86,36.29,53.0,47.0,1.0,0.0,9.93,7.36,6.79,3.29,1.57,1.79,6.07,8.29,10.71,7.36,10.21,9.71,2.93,3.5,1.57,1.86,0.49,0.26,0.29,0.58,0.46,,,0.55,0.48,0.52,0.51,0.5,0.26,0.3,0.49,0.58,,,0.5,0.56,0.53,0.53,Netherlands Eredivisie,2025-2026,1.62,1.23,4.77,5.46,5.15,4.92,13.0,15.15,97.31,105.54,39.46,43.0,52.0,48.0,0.67,0.33,9.77,8.92,3.08,6.15,1.38,1.54,7.54,7.69,8.54,9.77,10.77,12.23,5.15,3.0,1.46,2.08,0.45,0.26,0.32,0.58,0.46,,,0.55,0.49,0.52,0.52,0.47,0.26,0.32,0.48,0.59,,,0.55,0.51,0.53,0.53
FC Twente,1.82,1.18,5.69,3.31,7.23,2.92,19.62,8.0,120.85,93.0,64.77,33.92,58.54,41.46,0.8,0.2,12.46,5.69,7.08,2.38,0.77,1.69,5.46,10.23,13.15,4.92,10.38,10.15,1.92,5.08,1.25,2.33,0.61,0.22,0.22,0.59,0.45,,,,,,,0.62,0.22,0.22,0.48,0.6,,,,,,,Netherlands Eredivisie,2025-2026,1.14,1.79,4.64,5.07,4.29,5.64,12.14,17.07,98.93,100.21,44.07,52.0,48.0,52.0,0.25,1.0,8.0,11.14,4.29,5.86,2.31,1.0,8.57,8.0,7.71,11.07,9.86,12.07,4.5,2.93,1.64,1.86,0.29,0.26,0.49,0.62,0.42,,,0.54,0.49,0.52,0.52,0.3,0.26,0.5,0.46,0.62,,,,,0.53,0.52
FC Utrecht,1.69,0.85,4.92,4.46,6.08,3.62,15.46,11.15,94.85,98.85,38.23,42.38,45.62,54.38,0.5,0.5,10.85,6.62,4.62,4.54,1.25,0.67,6.92,8.08,9.62,7.46,10.54,12.85,4.0,3.69,1.33,2.5,0.5,0.26,0.28,0.59,0.45,,,,,0.52,0.51,0.5,0.26,0.29,0.48,0.6,,,,,0.53,0.52,Netherlands Eredivisie,2025-2026,1.46,1.46,4.36,5.5,5.79,4.64,13.79,13.57,102.86,98.93,50.5,39.57,52.07,47.93,1.0,0.0,8.29,8.86,5.57,4.71,1.5,1.25,7.0,8.71,8.93,8.71,9.79,11.36,3.86,2.64,1.64,1.79,0.44,0.26,0.33,0.59,0.45,,,0.55,0.48,0.53,0.51,0.44,0.27,0.35,0.48,0.59,,,0.5,0.56,0.54,0.52
FC Volendam,1.64,1.36,4.07,5.93,4.79,6.57,12.57,16.43,83.86,97.29,43.79,53.86,46.0,54.0,0.67,0.33,7.93,10.36,4.71,6.07,1.5,1.14,10.5,6.93,8.21,10.07,9.86,12.86,3.71,2.86,1.86,2.86,0.29,0.24,0.51,0.63,0.41,,,,,,,0.3,0.25,0.51,0.45,0.63,,,,,,,Netherlands Eredivisie,2025-2026,2.15,0.54,8.31,2.92,6.46,3.62,21.54,8.46,105.38,77.23,67.69,33.77,55.85,44.15,1.0,0.0,13.77,5.08,7.85,3.38,1.92,1.54,6.0,9.46,12.77,6.0,10.92,9.69,2.15,6.08,1.27,1.0,0.71,0.19,0.14,0.58,0.46,,,,,0.55,0.49,0.72,0.19,0.15,0.48,0.59,,,,,0.56,0.5
Feyenoord,2.36,1.43,8.5,3.36,6.57,3.93,19.57,10.86,104.43,79.07,61.5,29.43,55.64,44.36,0.75,0.25,13.5,6.79,6.0,4.0,1.67,1.08,6.29,11.21,13.0,7.21,10.14,12.07,2.29,4.79,1.23,1.38,0.7,0.19,0.15,0.59,0.45,,,,,,,0.7,0.19,0.16,0.48,0.6,,,,,,,Netherlands Eredivisie,2025-2026,1.46,2.0,3.69,6.62,4.08,4.54,11.0,14.31,93.38,104.77,41.23,54.62,47.23,52.77,1.0,0.5,6.54,10.08,4.46,4.23,1.15,1.0,8.54,6.92,8.31,9.62,10.92,9.23,3.31,3.08,1.5,2.42,0.29,0.24,0.5,0.63,0.41,,,,,0.54,0.5,0.3,0.25,0.51,0.43,0.64,,,,,0.54,0.52
Fortuna Sittard,1.62,1.77,5.15,6.85,6.38,4.38,15.46,13.38,88.77,106.54,41.54,55.46,44.69,55.31,0.67,0.33,10.31,9.46,5.23,4.0,1.85,1.62,7.0,9.0,9.0,9.0,12.85,11.85,3.92,2.77,2.46,1.62,0.33,0.26,0.44,0.62,0.42,,,0.54,0.49,0.52,0.5,0.34,0.27,0.45,0.45,0.62,,,0.56,0.5,0.54,0.52,Netherlands Eredivisie,2025-2026,2.0,1.31,6.77,3.62,6.23,3.08,16.69,10.31,111.62,90.85,55.15,32.77,53.92,46.08,1.0,0.0,11.0,6.23,5.54,4.15,1.62,1.54,6.0,9.15,12.08,6.92,11.69,13.0,3.15,4.0,1.17,2.08,0.57,0.24,0.23,0.58,0.46,,,0.55,0.48,0.52,0.51,0.58,0.25,0.23,0.49,0.58,,,0.56,0.5,0.54,0.52
Go Ahead Eagles,1.85,1.54,6.77,5.38,4.69,5.15,13.92,16.0,93.77,91.77,49.46,42.38,52.0,48.0,0.67,0.33,9.46,10.31,4.38,5.77,2.0,1.09,8.23,9.23,9.46,9.46,8.69,10.92,3.85,4.23,1.08,1.42,0.39,0.25,0.39,0.65,0.39,,,,,0.54,0.5,0.41,0.26,0.4,0.43,0.65,,,,,0.55,0.5,Netherlands Eredivisie,2025-2026,1.79,1.21,6.0,4.14,8.21,2.86,21.07,9.36,97.14,92.71,55.43,39.86,52.0,48.0,1.0,0.0,14.07,6.93,7.07,2.43,0.62,1.54,6.79,10.29,13.23,6.77,9.0,10.29,2.79,5.0,1.86,2.14,0.52,0.24,0.28,0.63,0.41,,,,,,,0.52,0.25,0.29,0.44,0.63,,,,,,
