team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Akhmat Grozny,1.5,1.1,5.0,5.3,5.6,3.9,14.8,12.5,89.7,89.4,45.7,43.5,45.5,54.5,2.0,0.0,9.5,7.8,5.5,4.5,2.1,0.7,6.1,6.8,9.6,7.2,10.2,16.0,2.6,3.4,1.9,2.7,0.42,0.28,0.34,0.56,0.48,,,0.54,0.5,0.51,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.67,1.11,3.5,3.9,4.9,3.4,12.4,10.3,91.8,90.3,46.1,38.3,54.0,46.0,0.0,1.33,7.7,6.5,4.7,3.9,2.0,1.7,6.7,7.3,9.11,6.78,16.2,13.8,1.9,2.6,2.7,1.7,0.43,0.29,0.31,0.53,0.51,0.5,0.53,0.49,0.54,0.52,0.52,,,,,,,,,,,
Akron,1.22,1.56,4.11,5.0,3.89,6.0,11.11,14.22,99.67,95.44,49.33,46.56,46.0,54.0,1.33,0.67,6.89,9.56,4.11,4.56,1.67,1.89,7.0,8.56,8.44,10.33,15.11,14.22,2.89,3.33,1.67,1.44,0.34,0.26,0.43,0.59,0.45,,,0.49,0.54,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,1.4,1.1,4.82,4.0,6.0,3.91,16.82,10.55,95.73,83.55,49.36,39.0,58.73,41.27,0.67,1.0,10.09,8.0,6.18,2.45,2.73,3.0,7.55,8.36,11.2,6.7,11.82,15.0,2.3,5.2,2.0,2.18,0.6,0.23,0.21,0.55,0.49,0.55,0.49,0.54,0.5,0.53,0.5,,,,,,,,,,,
Baltika,2.0,1.0,3.0,4.4,5.0,3.4,11.6,9.6,84.6,101.6,41.8,47.0,42.6,57.4,2.5,0.0,6.6,4.8,4.8,4.4,2.6,1.6,7.0,7.0,8.6,6.8,21.4,10.8,3.0,2.4,2.8,2.4,0.45,0.29,0.29,0.47,0.57,0.52,0.5,0.51,0.52,0.5,0.54,,,,,,,,,,,,Russia Premier League,2025-2026,0.43,1.71,4.75,3.38,4.88,5.88,11.38,13.12,97.5,92.75,42.0,42.62,52.5,47.5,0.5,1.0,6.75,7.62,3.5,5.25,1.25,2.5,8.62,7.38,7.88,9.75,11.88,20.0,3.38,2.62,2.38,3.5,0.41,0.29,0.34,0.5,0.54,0.51,0.53,0.49,0.54,0.53,0.51,,,,,,,,,,,
Baltika Kaliningrad,1.5,0.25,3.75,4.5,6.0,4.75,14.5,10.25,81.0,81.25,50.5,40.75,44.25,55.75,2.0,0.0,9.5,5.5,5.0,4.75,2.0,2.0,8.25,7.0,8.25,7.75,16.75,12.25,2.25,3.0,2.75,3.0,0.4,0.31,0.32,0.45,0.59,0.52,0.52,0.49,0.54,,,,,,,,,,,,,,Russia Premier League,2025-2026,1.0,0.5,6.0,3.33,6.33,3.33,15.0,8.33,90.33,96.67,49.0,44.0,53.0,47.0,1.0,0.0,10.33,5.33,4.67,3.0,1.33,3.67,5.67,9.33,11.67,4.67,10.0,17.33,2.0,3.33,1.33,3.33,0.42,0.29,0.31,0.47,0.57,0.52,0.5,0.52,0.52,,,,,,,,,,,,,
CSKA Moskva,2.1,1.0,4.9,6.0,5.0,5.7,14.3,13.5,105.4,79.5,53.0,40.0,58.0,42.0,2.0,0.0,9.6,8.7,4.6,4.8,1.6,1.6,8.4,9.4,10.2,9.3,11.0,16.0,2.7,3.1,1.7,2.9,0.55,0.26,0.23,0.55,0.48,,,0.52,0.51,0.51,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.38,1.25,5.6,5.6,7.3,5.1,15.8,13.1,84.2,95.1,44.0,44.3,46.7,53.3,1.0,2.0,10.4,8.2,5.3,4.7,1.11,2.11,7.1,10.2,12.11,9.0,13.7,12.8,3.0,3.4,2.0,2.2,0.38,0.28,0.38,0.55,0.49,0.55,0.48,0.52,0.51,0.52,0.52,,,,,,,,,,,
Dinamo Moskva,2.1,1.5,5.4,3.8,5.5,2.9,16.0,9.0,101.2,81.6,53.5,36.1,57.4,42.6,1.33,1.0,9.2,6.9,5.5,2.1,2.1,3.4,4.9,7.7,11.0,5.6,12.0,15.0,1.8,3.5,1.5,2.4,0.58,0.24,0.22,0.57,0.47,,,0.55,0.48,0.52,0.52,,,,,,,,,,,,Russia Premier League,2025-2026,1.33,1.56,5.1,5.1,4.1,6.1,11.2,15.1,98.4,90.4,45.4,47.8,48.8,51.2,1.0,1.0,7.9,8.9,3.1,6.3,3.1,1.5,7.6,6.3,6.7,9.4,12.7,14.9,2.4,2.1,2.2,2.4,0.35,0.26,0.42,0.6,0.44,,,0.55,0.48,0.53,0.5,,,,,,,,,,,
Dynamo Makhachkala,0.89,0.78,5.0,3.1,4.7,4.5,10.6,10.3,106.0,93.3,50.8,40.5,49.3,50.7,2.0,1.0,6.6,6.3,3.5,4.1,2.0,1.8,7.0,7.7,7.0,6.2,13.9,17.9,1.89,2.11,2.0,3.0,0.35,0.31,0.37,0.48,0.56,0.53,0.5,0.51,0.53,0.51,0.53,,,,,,,,,,,,Russia Premier League,2025-2026,1.89,0.22,4.3,4.2,3.6,4.4,9.7,10.0,92.8,109.8,42.3,47.2,51.1,48.9,1.5,0.25,5.6,5.8,3.9,3.8,2.9,1.6,7.5,6.6,7.8,6.9,16.3,13.5,2.4,2.2,1.7,2.1,0.5,0.29,0.25,0.44,0.6,0.5,0.53,0.5,0.54,0.52,0.52,,,,,,,,,,,
FK Nizjni Novgorod,1.25,1.62,4.4,4.5,5.0,4.9,12.9,11.0,92.7,98.0,47.2,43.7,47.7,52.3,0.0,2.33,7.4,7.9,5.3,3.1,2.0,1.4,7.1,7.1,9.0,7.6,16.5,13.3,2.1,3.7,2.4,1.9,0.28,0.28,0.48,0.51,0.52,0.53,0.5,0.51,0.53,0.5,0.53,,,,,,,,,,,,Russia Premier League,2025-2026,1.8,0.5,6.2,4.2,5.5,3.5,14.6,10.4,103.2,77.2,53.0,32.9,60.0,40.0,0.67,1.0,9.9,6.2,4.0,3.9,2.0,1.9,5.9,9.0,10.0,6.1,12.7,17.7,2.9,3.5,2.2,2.7,0.63,0.23,0.18,0.51,0.53,0.51,0.52,0.52,0.51,0.52,0.52,,,,,,,,,,,
Krasnodar,2.18,0.91,6.0,3.0,7.09,3.09,18.91,8.09,95.45,77.0,52.45,35.18,59.91,40.09,0.8,1.4,12.36,4.82,6.45,3.27,2.2,1.4,6.36,8.91,11.91,5.64,13.82,15.18,1.73,3.0,2.73,3.0,0.61,0.24,0.19,0.54,0.49,,,0.55,0.48,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,0.62,2.0,4.0,4.0,4.33,5.33,10.78,12.22,87.33,90.33,44.89,38.22,42.56,57.44,0.0,2.0,6.67,8.22,4.0,3.89,2.0,2.22,6.33,8.11,6.56,8.56,17.33,14.44,2.33,1.78,2.56,1.56,0.23,0.27,0.54,0.53,0.52,0.55,0.49,0.52,0.52,0.53,0.5,,,,,,,,,,,
Krylya Sovetov,1.44,1.33,3.89,5.78,3.33,6.11,9.33,13.67,83.78,97.44,38.67,47.78,46.22,53.78,0.0,2.0,5.78,8.67,3.56,4.67,2.33,1.22,8.56,7.33,6.44,11.0,14.33,13.67,3.56,1.44,1.78,1.44,0.33,0.28,0.42,0.52,0.52,0.48,0.55,0.5,0.54,0.52,0.51,,,,,,,,,,,,Russia Premier League,2025-2026,2.27,0.82,5.91,2.55,5.91,3.73,17.27,7.36,106.0,75.0,58.36,30.0,54.0,46.0,1.6,0.4,10.45,4.27,6.73,3.0,2.56,2.0,6.18,8.27,11.55,6.27,12.45,14.73,1.45,3.73,2.18,2.91,0.59,0.25,0.2,0.51,0.53,0.55,0.5,0.53,0.51,0.51,0.52,,,,,,,,,,,
