team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Al Ahli,2.38,0.85,6.08,3.77,5.15,3.77,13.92,9.31,86.08,81.15,48.08,36.38,49.08,50.92,1.0,0.6,10.31,5.69,3.54,3.62,2.83,1.5,6.38,8.69,8.92,5.15,14.92,11.31,2.08,3.15,2.38,2.0,0.64,0.21,0.21,0.57,0.49,,,0.54,0.51,0.5,0.55,0.64,0.23,0.23,0.51,0.57,,,0.55,0.51,0.55,0.5,Saudi Arabia Liga Profissional,2025,0.78,1.89,3.09,5.64,3.64,4.91,7.45,12.45,66.1,88.3,31.4,52.3,51.73,48.27,0.67,0.67,5.45,8.91,2.0,3.55,2.36,3.36,9.09,6.64,4.36,9.18,11.36,14.91,3.36,0.91,2.18,3.09,0.24,0.22,0.59,0.59,0.47,,,,,0.55,0.51,0.26,0.25,0.61,0.49,0.59,,,,,0.52,0.54
Al Akhdoud,1.0,2.33,4.5,5.17,3.67,6.33,9.67,14.33,60.09,85.55,28.18,40.91,45.17,54.83,0.0,1.0,5.58,9.42,4.17,4.92,1.33,1.83,9.67,6.83,6.25,9.75,8.08,10.67,2.92,2.5,2.91,1.73,0.28,0.26,0.5,0.53,0.52,0.54,0.5,0.53,0.52,0.5,0.55,0.3,0.28,0.52,0.55,0.54,0.52,0.54,0.53,0.52,0.53,0.53,Saudi Arabia Liga Profissional,2025,2.2,0.4,8.18,3.09,6.73,2.09,16.36,6.64,109.55,58.55,65.09,25.45,62.18,37.82,0.67,0.33,11.0,3.36,5.36,3.27,1.73,1.91,3.82,9.64,11.36,4.27,12.64,10.82,2.09,4.82,1.64,2.36,0.72,0.19,0.15,0.52,0.54,,,0.54,0.51,0.52,0.52,0.72,0.21,0.16,0.57,0.52,,,0.53,0.52,0.53,0.53
Al Ettifaq,1.73,1.55,3.08,6.23,3.77,6.31,8.92,15.15,63.77,86.92,29.0,49.69,45.69,54.31,0.4,0.6,5.85,9.77,3.15,5.38,2.62,3.31,10.08,5.54,6.08,10.15,11.15,9.46,4.23,2.46,2.92,1.83,0.35,0.25,0.46,0.6,0.45,,,0.53,0.52,0.52,0.52,0.37,0.26,0.47,0.49,0.59,,,0.54,0.52,0.52,0.53,Saudi Arabia Liga Profissional,2025,1.6,1.1,5.0,5.0,5.8,3.5,12.3,10.0,74.0,69.44,43.78,41.33,46.2,53.8,0.75,0.5,8.4,6.1,3.9,3.9,2.8,2.1,5.5,9.7,9.3,6.5,11.7,11.0,2.8,2.7,1.9,2.3,0.5,0.25,0.31,0.57,0.48,0.55,0.5,0.52,0.52,0.51,0.53,0.5,0.26,0.33,0.51,0.58,,,0.49,0.57,0.52,0.54
Al Fateh,1.42,1.83,5.92,5.83,5.67,5.5,13.17,14.08,84.08,87.92,47.58,52.33,49.17,50.83,0.6,0.6,7.75,10.17,5.42,4.0,2.08,2.58,8.08,8.92,9.75,10.17,12.25,15.83,3.58,3.17,2.42,2.67,0.35,0.24,0.47,0.62,0.43,,,,,0.55,0.5,0.36,0.26,0.48,0.45,0.62,,,,,0.52,0.55,Saudi Arabia Liga Profissional,2025,1.82,1.0,6.33,4.75,5.92,4.5,14.25,10.0,91.33,70.92,55.5,38.33,58.67,41.33,0.75,0.5,9.42,6.5,4.83,3.5,1.92,2.83,9.17,9.25,9.0,7.0,10.33,11.17,3.08,3.75,1.75,2.08,0.54,0.22,0.29,0.62,0.43,,,,,0.54,0.5,0.55,0.24,0.3,0.45,0.63,,,,,0.51,0.55
Al Hazm,1.2,2.4,4.45,4.64,6.0,4.36,12.18,11.82,86.36,87.55,47.27,44.73,49.36,50.64,0.71,0.29,6.82,8.55,5.36,3.27,2.64,1.91,7.0,8.82,8.91,8.09,13.0,10.09,2.64,2.64,2.82,2.0,0.3,0.25,0.5,0.57,0.49,0.57,0.5,0.54,0.51,0.53,0.52,0.33,0.26,0.52,0.52,0.56,,,0.52,0.54,0.52,0.53,Saudi Arabia Liga Profissional,2025,1.36,1.18,6.25,3.92,5.25,3.67,12.17,10.75,83.0,75.0,44.45,37.0,55.58,44.42,0.25,1.0,8.92,5.92,3.25,4.83,2.8,2.0,6.5,8.33,9.33,7.92,10.67,12.92,3.5,3.5,2.08,2.58,0.57,0.24,0.24,0.56,0.49,,,0.53,0.52,0.52,0.53,0.58,0.26,0.25,0.5,0.58,,,0.52,0.54,0.52,0.54
Al Hilal,2.55,0.91,6.33,3.17,6.33,3.25,16.58,7.08,100.25,65.25,65.83,29.75,61.0,39.0,1.33,0.33,11.0,4.42,5.58,2.67,2.75,1.42,5.83,12.17,10.42,4.42,8.25,8.75,1.25,4.17,1.18,2.36,0.79,0.14,0.12,0.58,0.48,,,,,,,0.79,0.17,0.13,0.49,0.59,,,,,,,Saudi Arabia Liga Profissional,2025,0.91,2.82,3.64,7.09,3.82,5.82,10.27,16.82,72.45,96.73,34.55,57.18,42.0,58.0,0.25,0.75,5.55,11.73,4.64,5.09,0.91,1.64,9.73,6.36,5.91,11.27,9.82,10.64,4.45,2.45,1.6,2.0,0.16,0.17,0.73,0.59,0.47,,,,,,,0.16,0.19,0.74,0.49,0.59,,,,,,
Al Ittihad,1.25,0.92,7.17,3.25,5.83,4.25,14.58,10.5,103.45,70.82,61.27,31.64,62.33,37.67,0.0,1.0,9.58,7.42,5.0,3.08,2.25,2.0,6.0,9.0,9.33,7.42,12.33,10.75,2.92,4.25,1.25,2.17,0.65,0.19,0.22,0.6,0.46,,,,,0.54,0.51,0.65,0.21,0.23,0.47,0.61,,,,,0.53,0.52,Saudi Arabia Liga Profissional,2025,1.75,2.0,3.67,7.08,4.08,4.83,10.33,13.5,63.5,89.75,32.08,53.67,39.58,60.42,0.43,0.71,6.42,9.0,3.92,4.5,2.58,1.67,7.75,6.67,7.58,8.92,9.83,11.0,3.17,2.25,1.83,1.92,0.28,0.22,0.55,0.62,0.44,,,,,,,0.29,0.25,0.56,0.46,0.62,,,,,,
Al Khaleej,2.1,1.5,4.73,5.18,5.09,4.55,12.09,12.45,76.27,74.73,41.0,38.82,54.0,46.0,1.0,0.0,9.09,6.55,3.0,5.91,2.18,1.45,7.45,8.18,7.91,8.73,9.91,11.36,3.45,2.45,1.91,2.18,0.44,0.25,0.36,0.6,0.45,,,0.53,0.52,0.54,0.5,0.46,0.27,0.37,0.48,0.6,,,0.53,0.53,0.55,0.5,Saudi Arabia Liga Profissional,2025,2.0,1.77,5.08,5.15,5.23,5.62,13.92,12.62,85.08,70.38,42.0,36.62,50.23,49.77,0.25,1.0,9.0,8.15,4.92,4.38,1.58,1.75,8.46,9.15,8.85,9.15,11.69,12.23,2.77,3.62,1.92,2.31,0.48,0.24,0.34,0.61,0.45,,,0.51,0.54,0.54,0.51,0.49,0.26,0.35,0.47,0.61,,,0.5,0.56,0.51,0.55
Al Kholood,1.23,2.15,3.92,5.92,3.08,4.92,8.69,14.77,68.62,87.85,33.31,49.85,43.46,56.54,0.29,0.71,5.15,9.54,3.54,5.23,1.62,1.15,9.15,6.46,6.08,9.85,11.15,13.23,3.85,2.08,1.54,2.31,0.27,0.24,0.54,0.59,0.47,,,0.54,0.5,0.53,0.52,0.29,0.25,0.55,0.48,0.6,,,,,0.54,0.52,Saudi Arabia Liga Profissional,2025,1.7,1.5,5.36,4.18,6.36,4.64,15.09,11.09,82.55,86.36,43.55,43.64,49.64,50.36,0.67,0.5,8.45,8.0,6.73,3.09,1.18,2.55,6.82,9.55,10.0,8.09,11.27,9.27,2.27,3.27,1.55,1.64,0.49,0.26,0.3,0.58,0.48,,,0.53,0.52,0.52,0.53,0.51,0.27,0.32,0.5,0.58,,,0.52,0.54,0.52,0.53
Al Najma,1.1,1.9,5.1,6.0,3.9,5.0,10.4,13.8,72.67,106.22,38.67,54.56,46.5,53.5,0.0,1.0,6.6,8.8,3.8,5.0,2.1,3.0,8.1,6.3,5.9,8.7,8.3,13.1,3.6,2.5,1.2,2.2,0.23,0.23,0.6,0.58,0.48,,,0.54,0.5,0.52,0.54,0.24,0.24,0.62,0.51,0.58,,,0.52,0.54,0.52,0.54,Saudi Arabia Liga Profissional,2025,2.82,0.82,7.62,3.31,6.15,3.31,16.38,7.69,90.23,72.23,56.54,33.08,54.77,45.23,0.75,0.25,10.85,4.85,5.54,2.85,1.46,2.38,5.62,10.54,11.46,5.85,11.62,9.46,2.15,3.69,2.0,2.25,0.67,0.21,0.18,0.56,0.5,,,0.55,0.49,0.53,0.52,0.68,0.22,0.19,0.53,0.56,,,0.51,0.55,0.53,0.53
