team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Athletic Club,1.21,1.14,5.43,3.79,5.5,2.43,14.93,7.07,118.07,85.29,55.29,32.07,50.21,49.79,1.0,0.25,10.07,3.79,4.86,3.29,1.64,3.71,4.29,10.86,10.07,5.64,13.86,11.64,2.43,3.64,2.07,2.36,0.52,0.27,0.25,0.49,0.55,0.53,0.49,0.5,0.53,0.52,0.52,0.53,0.28,0.25,0.57,0.5,0.53,0.52,0.51,0.54,0.52,0.53,Spain La Liga,2025-2026,1.75,1.08,4.08,5.08,4.69,5.08,11.92,13.15,84.31,108.08,33.08,49.38,52.62,47.38,0.75,0.5,8.38,9.0,3.54,4.15,3.23,1.23,8.15,6.77,8.08,8.08,11.38,13.31,3.31,3.23,1.85,2.46,0.35,0.31,0.37,0.51,0.52,0.54,0.49,0.5,0.53,0.48,0.55,0.36,0.31,0.38,0.54,0.53,0.54,0.51,0.53,0.51,0.5,0.55
Atlético Madrid,2.36,0.86,8.21,3.43,6.21,4.43,16.29,8.29,112.86,90.29,63.36,33.0,56.29,43.71,1.0,0.0,11.93,5.21,4.36,3.07,2.5,1.25,6.93,9.57,13.0,6.36,10.0,9.36,1.14,4.79,1.71,2.14,0.69,0.2,0.14,0.49,0.55,,,,,0.53,0.5,0.69,0.21,0.15,0.56,0.51,,,0.56,0.49,0.52,0.52,Spain La Liga,2025-2026,1.08,1.08,4.15,5.23,5.23,4.31,12.69,10.69,105.69,99.08,51.23,47.77,46.31,53.69,0.67,0.33,7.0,7.23,5.69,3.46,1.62,2.15,7.23,9.46,8.62,7.46,10.38,12.15,2.92,3.31,2.0,2.0,0.25,0.27,0.51,0.53,0.5,0.52,0.51,0.52,0.5,0.52,0.51,0.26,0.28,0.52,0.53,0.54,0.48,0.56,0.52,0.53,0.52,0.52
Celta de Vigo,1.43,1.21,4.71,4.43,4.79,3.64,12.0,11.29,106.14,93.71,45.07,48.79,52.21,47.79,0.71,0.43,7.57,6.93,4.43,4.36,2.17,2.17,5.86,7.93,8.79,6.64,10.0,12.29,2.36,2.86,1.71,2.71,0.43,0.29,0.31,0.55,0.49,0.53,0.5,0.52,0.51,0.51,0.51,0.44,0.29,0.32,0.51,0.56,0.56,0.49,0.52,0.52,0.53,0.52,Spain La Liga,2025-2026,1.18,1.55,5.0,3.54,5.23,3.31,12.15,9.77,99.54,85.46,49.92,36.08,51.38,48.62,0.83,0.33,8.0,6.38,4.15,3.38,2.58,2.0,5.23,9.23,8.15,7.0,11.54,12.54,2.77,3.38,2.31,2.0,0.4,0.3,0.33,0.53,0.51,0.55,0.47,0.5,0.52,0.49,0.54,0.41,0.3,0.34,0.53,0.54,0.56,0.48,0.51,0.53,0.52,0.53
Deportivo Alavés,1.33,1.25,5.85,4.46,5.38,4.23,13.0,11.77,106.69,97.38,45.69,40.46,50.92,49.08,0.67,0.33,8.08,7.62,4.92,4.15,2.08,1.5,7.23,9.31,9.0,7.69,15.77,14.69,2.69,3.15,2.0,2.38,0.38,0.32,0.33,0.46,0.57,0.52,0.5,0.49,0.54,0.54,0.49,0.39,0.32,0.34,0.6,0.47,0.51,0.53,0.51,0.53,0.5,0.55,Spain La Liga,2025-2026,1.57,0.64,5.36,4.14,5.29,4.71,13.93,10.93,106.79,95.0,54.64,37.36,49.86,50.14,1.0,0.5,9.21,7.07,4.71,3.86,2.0,2.31,7.07,8.0,8.93,7.36,12.86,15.0,3.0,2.64,1.5,2.86,0.52,0.29,0.22,0.45,0.58,0.52,0.51,0.49,0.54,0.51,0.52,0.54,0.29,0.22,0.6,0.47,0.52,0.52,0.51,0.53,0.51,0.53
Elche,1.83,1.25,4.29,3.64,5.14,5.71,13.86,13.43,107.14,77.0,52.79,38.93,60.29,39.71,0.5,0.5,10.21,9.14,3.64,4.29,1.79,1.93,7.71,8.64,8.86,9.07,12.5,14.36,3.21,3.36,1.86,2.57,0.34,0.29,0.4,0.54,0.5,0.54,0.49,0.51,0.52,0.49,0.54,0.35,0.29,0.41,0.53,0.54,0.54,0.5,0.53,0.52,0.51,0.53,Spain La Liga,2025-2026,2.0,1.0,5.31,3.08,5.77,3.15,15.69,8.15,94.15,95.69,48.31,37.15,42.46,57.54,1.0,0.33,10.54,5.0,5.15,3.15,2.0,1.5,4.54,8.0,9.62,5.54,15.08,12.54,2.15,3.23,2.0,2.23,0.55,0.27,0.21,0.5,0.54,0.52,0.51,0.49,0.53,0.52,0.5,0.56,0.27,0.22,0.55,0.52,0.53,0.52,0.51,0.54,0.53,0.52
Espanyol,1.21,1.36,4.71,4.07,5.43,4.36,13.21,12.07,94.93,96.93,49.71,38.71,44.0,56.0,0.75,0.75,8.71,7.93,4.5,4.14,1.64,1.57,6.43,7.71,9.5,8.79,13.64,12.64,3.07,3.43,2.29,2.71,0.4,0.29,0.33,0.52,0.52,0.53,0.49,0.5,0.52,0.51,0.52,0.42,0.3,0.34,0.54,0.53,0.52,0.52,0.51,0.54,0.52,0.52,Spain La Liga,2025-2026,1.75,1.42,4.54,4.08,4.23,5.0,13.15,12.69,110.62,87.15,45.23,39.15,59.15,40.85,0.67,0.33,9.08,7.54,4.08,5.08,1.0,1.42,7.15,8.0,8.31,8.08,12.46,13.31,2.54,3.15,2.0,2.08,0.48,0.28,0.26,0.51,0.52,0.53,0.5,0.51,0.51,0.5,0.52,0.5,0.28,0.27,0.54,0.53,0.5,0.55,0.52,0.53,0.52,0.52
FC Barcelona,3.15,0.46,8.0,3.31,7.38,3.31,20.46,7.38,124.0,67.92,64.31,28.23,69.69,30.31,1.0,0.0,12.54,6.0,7.92,1.38,2.62,4.08,4.08,10.77,13.54,5.31,9.23,11.62,1.85,4.46,1.08,1.92,0.79,0.15,0.1,0.58,0.46,,,,,,,0.79,0.15,0.11,0.48,0.58,,,,,,,Spain La Liga,2025-2026,1.43,2.21,4.93,6.86,3.5,7.21,11.14,19.71,65.57,112.43,33.64,63.14,31.21,68.79,0.5,0.75,8.71,13.21,2.5,6.5,5.57,1.79,8.86,5.0,8.5,12.64,12.14,9.29,4.71,3.57,2.79,2.14,0.19,0.2,0.64,0.63,0.4,,,,,,,0.2,0.2,0.65,0.42,0.64,,,,,,
Getafe,0.92,0.85,4.29,4.21,4.14,3.93,9.36,9.79,97.0,91.43,39.79,37.79,41.71,58.29,0.5,0.5,5.0,5.86,4.36,3.93,2.71,2.93,7.0,7.64,5.93,7.14,15.43,15.5,3.0,1.86,2.36,2.29,0.37,0.33,0.33,0.41,0.62,0.49,0.54,0.52,0.52,0.52,0.51,0.38,0.33,0.34,0.64,0.43,0.53,0.52,0.55,0.5,0.51,0.53,Spain La Liga,2025-2026,1.38,0.85,4.77,4.46,4.77,3.46,11.62,9.85,111.62,95.62,47.31,39.54,61.46,38.54,0.0,1.0,7.85,6.08,3.77,3.69,2.54,2.08,5.54,7.69,8.85,5.62,14.0,14.54,2.0,3.46,2.08,3.0,0.53,0.3,0.2,0.41,0.63,0.49,0.54,0.51,0.52,0.51,0.52,0.54,0.3,0.21,0.65,0.42,0.52,0.52,0.52,0.52,0.55,0.5
Girona,1.08,1.75,5.08,4.15,3.31,7.0,10.38,15.23,92.46,93.54,48.15,49.38,50.15,49.85,0.5,1.0,6.46,10.31,3.92,4.85,2.15,1.62,7.08,5.69,7.23,10.85,10.0,13.15,3.0,3.08,2.15,2.15,0.37,0.28,0.38,0.55,0.49,0.52,0.52,0.52,0.51,0.5,0.52,0.38,0.28,0.38,0.51,0.56,0.53,0.51,0.52,0.53,0.52,0.53,Spain La Liga,2025-2026,1.57,1.07,6.07,3.43,6.86,3.36,15.14,10.57,108.93,91.86,54.5,43.07,50.5,49.5,0.4,1.0,9.79,7.29,5.36,3.29,1.71,2.0,5.86,10.14,10.71,7.0,14.07,11.71,3.07,3.43,1.64,2.43,0.53,0.27,0.23,0.54,0.5,0.52,0.5,0.51,0.52,0.5,0.52,0.54,0.28,0.24,0.53,0.54,0.5,0.55,0.52,0.53,0.53,0.52
Levante,1.08,1.85,4.71,5.29,4.79,6.71,12.79,16.71,85.93,102.57,39.71,50.57,42.93,57.07,0.75,0.25,8.79,11.14,4.0,5.57,1.85,1.46,8.86,6.86,7.14,11.07,12.43,12.71,3.86,2.29,2.29,2.21,0.28,0.27,0.48,0.57,0.47,0.56,0.47,0.53,0.49,0.51,0.52,0.29,0.28,0.48,0.49,0.58,0.49,0.56,0.54,0.51,0.53,0.51,Spain La Liga,2025-2026,1.62,1.15,7.69,2.54,6.62,3.69,16.92,9.31,106.62,78.15,54.38,34.0,59.62,40.38,1.0,0.0,11.15,5.69,5.77,3.69,1.38,1.92,5.85,10.85,11.38,5.77,12.77,12.15,1.85,4.15,2.46,2.0,0.59,0.25,0.2,0.53,0.51,0.54,0.5,0.52,0.51,0.51,0.52,0.6,0.25,0.2,0.53,0.53,0.54,0.5,0.52,0.52,0.52,0.52
