team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alanyaspor,1.78,1.11,5.46,3.08,5.38,4.23,13.23,9.08,92.46,85.77,48.69,35.69,48.85,51.15,1.0,0.0,9.0,5.62,4.23,3.46,0.92,1.92,6.38,7.46,8.54,6.46,12.23,12.92,2.23,3.54,1.69,1.92,0.43,0.28,0.33,0.55,0.49,,,0.53,0.51,0.52,0.52,0.44,0.28,0.35,0.53,0.56,,,0.52,0.53,0.53,0.53,Turkey Super Lig,2025-2026,1.55,1.36,4.25,4.33,4.75,6.25,12.25,12.75,89.0,80.25,36.25,39.33,51.92,48.08,0.8,0.2,7.92,7.17,4.33,5.58,2.58,1.33,8.17,7.33,8.0,7.75,16.25,11.83,2.25,3.33,2.27,3.0,0.52,0.27,0.25,0.55,0.49,0.56,0.47,0.54,0.5,0.5,0.53,0.52,0.28,0.27,0.53,0.56,,,0.54,0.52,0.52,0.54
Antalyaspor,1.38,2.38,4.69,5.46,4.08,5.85,10.38,14.0,78.0,94.08,34.54,41.54,43.46,56.54,0.0,1.5,7.46,9.38,3.0,4.62,1.85,1.85,8.31,5.77,7.38,10.0,12.77,15.69,3.15,2.54,2.25,2.58,0.3,0.28,0.46,0.55,0.49,0.56,0.48,0.52,0.51,0.5,0.53,0.32,0.28,0.46,0.53,0.56,0.57,0.49,0.53,0.52,0.51,0.55,Turkey Super Lig,2025-2026,1.22,0.78,6.23,3.08,5.92,2.77,14.46,6.69,105.31,75.85,49.77,28.38,56.0,44.0,1.0,0.0,9.15,4.0,5.23,2.69,1.38,2.15,5.54,10.46,9.85,4.85,12.77,12.69,2.15,3.77,2.38,2.85,0.57,0.26,0.2,0.52,0.52,0.55,0.48,0.51,0.52,0.52,0.52,0.59,0.27,0.21,0.55,0.53,0.51,0.55,0.52,0.54,0.53,0.53
Beşiktaş,1.62,1.23,5.92,3.69,5.85,4.69,18.62,10.77,100.85,75.15,50.69,31.69,56.31,43.69,0.75,0.25,11.23,6.38,7.38,4.46,2.08,1.83,6.77,9.69,11.62,7.38,14.38,14.15,2.31,5.08,2.31,4.15,0.62,0.22,0.2,0.6,0.44,,,,,,,0.63,0.23,0.21,0.48,0.6,,,,,,,Turkey Super Lig,2025-2026,1.25,1.92,5.67,4.83,6.25,5.25,13.5,15.33,89.58,84.92,46.33,40.67,47.0,53.0,0.5,0.5,8.17,11.0,5.33,4.33,1.67,2.67,7.17,9.08,9.17,10.25,10.42,13.08,4.0,2.83,2.08,2.25,0.28,0.25,0.5,0.61,0.43,,,,,0.54,0.5,0.28,0.26,0.52,0.47,0.61,,,,,0.54,0.52
Eyüpspor,0.83,1.58,4.0,5.0,4.92,5.69,11.08,13.77,80.69,92.0,38.23,45.62,51.92,48.08,0.25,0.75,7.08,8.54,4.0,5.31,2.46,1.69,7.77,7.31,7.54,8.85,11.0,13.85,3.08,2.92,2.31,1.69,0.32,0.26,0.46,0.56,0.48,0.56,0.47,0.52,0.52,0.52,0.52,0.33,0.27,0.47,0.52,0.57,0.49,0.57,0.54,0.52,0.52,0.54,Turkey Super Lig,2025-2026,1.73,0.73,6.58,3.08,5.0,4.58,14.25,10.67,94.33,71.17,43.0,30.5,52.25,47.75,0.75,0.25,9.92,6.25,4.33,4.5,2.0,2.67,7.83,8.33,9.0,7.25,15.5,13.0,2.42,3.75,2.25,2.42,0.58,0.24,0.21,0.56,0.47,,,0.55,0.48,0.52,0.51,0.59,0.25,0.23,0.51,0.57,,,0.53,0.53,0.53,0.53
Fatih Karagümrük,1.0,1.58,3.42,6.33,4.5,4.92,10.58,14.17,87.75,103.67,33.25,49.08,45.5,54.5,0.5,0.75,6.75,8.08,3.83,6.08,2.5,2.17,8.75,7.42,5.42,9.17,13.17,12.92,3.75,1.83,1.75,2.58,0.28,0.27,0.48,0.56,0.48,,,0.52,0.52,0.51,0.52,0.29,0.28,0.5,0.51,0.58,,,0.53,0.53,0.53,0.53,Turkey Super Lig,2025-2026,1.92,0.85,5.31,4.23,6.92,4.62,15.31,10.77,94.31,86.69,41.46,38.15,52.92,47.08,1.0,0.0,10.46,5.31,4.92,5.46,1.85,2.38,7.69,10.15,11.54,7.15,15.62,12.77,2.54,3.92,2.0,2.15,0.59,0.25,0.2,0.54,0.5,,,0.54,0.5,0.51,0.52,0.6,0.26,0.21,0.53,0.55,,,0.54,0.52,0.52,0.54
Fenerbahçe,2.5,1.0,7.17,3.67,7.0,3.25,20.25,9.25,114.33,67.92,61.33,30.42,62.83,37.17,0.83,0.17,12.25,4.75,8.0,4.5,1.64,1.09,4.33,9.33,13.33,6.33,11.67,15.0,2.17,4.58,2.17,3.42,0.75,0.17,0.12,0.51,0.53,,,,,0.54,0.5,0.74,0.18,0.14,0.56,0.52,,,,,0.52,0.53,Turkey Super Lig,2025-2026,1.25,2.5,4.93,6.93,4.71,5.64,11.07,14.64,76.36,97.79,36.29,45.5,43.86,56.14,0.0,1.0,7.29,8.5,3.79,6.14,1.43,1.86,8.0,6.57,7.43,9.5,12.64,12.64,3.21,2.5,2.31,2.62,0.19,0.24,0.6,0.56,0.48,,,0.55,0.48,0.52,0.52,0.21,0.25,0.6,0.51,0.58,,,0.54,0.52,0.52,0.54
Galatasaray,2.92,0.83,7.0,3.38,9.69,3.46,20.69,8.54,98.46,60.69,56.85,27.0,65.08,34.92,2.0,0.0,14.54,5.0,6.15,3.54,1.69,2.31,5.85,12.31,15.46,6.15,11.77,10.85,2.54,4.46,1.15,2.38,0.78,0.15,0.1,0.56,0.48,,,,,,,0.78,0.16,0.12,0.51,0.58,,,,,,,Turkey Super Lig,2025-2026,0.45,2.18,4.27,3.91,5.0,6.55,12.27,13.73,70.91,92.82,34.55,43.55,42.09,57.91,0.0,2.0,7.27,9.73,4.91,3.91,2.64,1.36,9.55,8.18,8.0,11.0,10.09,12.73,2.82,2.91,1.91,2.82,0.2,0.21,0.63,0.59,0.45,,,,,,,0.21,0.22,0.64,0.47,0.61,,,,,,
Gaziantep F.K.,1.33,1.67,6.67,5.58,6.25,4.17,15.33,11.5,91.0,82.08,40.5,33.08,55.92,44.08,0.6,0.6,8.58,6.92,6.75,4.5,1.36,1.55,6.83,10.42,9.33,8.58,12.67,16.67,3.25,3.58,3.17,3.67,0.39,0.28,0.36,0.58,0.46,,,0.53,0.5,0.51,0.52,0.4,0.29,0.38,0.49,0.59,,,0.53,0.52,0.52,0.53,Turkey Super Lig,2025-2026,2.0,1.58,5.14,3.29,6.71,4.36,16.43,10.64,105.29,62.86,48.43,28.0,55.79,44.21,0.5,0.75,10.36,6.93,6.07,3.71,1.36,1.5,5.43,8.93,9.86,6.71,16.5,13.86,2.43,3.71,2.79,2.86,0.55,0.25,0.23,0.58,0.46,,,0.55,0.49,0.52,0.51,0.56,0.26,0.25,0.49,0.59,,,0.55,0.51,0.53,0.53
Gençlerbirliği,1.58,1.5,4.85,5.69,5.31,6.62,12.69,14.69,71.92,91.77,30.23,48.0,41.62,58.38,0.67,0.33,8.46,9.69,4.23,5.0,1.92,3.0,10.77,8.15,9.15,9.0,12.15,13.23,3.15,3.08,2.0,2.0,0.34,0.29,0.4,0.56,0.48,,,0.54,0.5,0.51,0.52,0.35,0.29,0.42,0.51,0.58,,,0.52,0.53,0.53,0.53,Turkey Super Lig,2025-2026,1.64,0.82,6.23,3.23,7.62,3.31,16.38,7.92,98.92,67.08,54.62,29.38,59.0,41.0,0.75,0.25,11.23,4.08,5.15,4.08,2.31,1.85,5.15,10.23,11.0,4.92,14.23,12.92,1.31,3.46,2.25,2.5,0.58,0.25,0.21,0.52,0.52,,,0.54,0.49,0.5,0.53,0.59,0.26,0.22,0.55,0.53,,,0.55,0.51,0.53,0.52
Göztepe,1.78,0.78,5.08,5.08,6.5,4.75,14.0,11.92,95.5,91.0,42.75,40.17,38.58,61.42,0.5,0.5,9.83,6.33,4.17,5.58,1.5,1.75,7.33,9.08,9.0,6.33,17.83,9.0,2.45,3.09,2.58,2.58,0.47,0.29,0.28,0.52,0.52,0.53,0.5,0.52,0.51,0.5,0.53,0.5,0.3,0.27,0.57,0.52,0.5,0.56,0.53,0.53,0.51,0.54,Turkey Super Lig,2025-2026,0.9,1.4,5.08,4.25,5.42,5.75,13.17,13.92,98.08,91.08,50.5,39.25,62.42,37.58,1.0,0.0,8.0,8.42,5.17,5.58,1.92,1.75,9.08,8.25,9.17,9.67,8.42,16.08,3.5,3.5,2.0,2.42,0.4,0.28,0.36,0.55,0.5,0.55,0.48,0.53,0.51,0.51,0.53,0.41,0.29,0.37,0.53,0.56,,,0.52,0.53,0.53,0.53
