team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Aldosivi,0.5,1.5,4.33,4.83,5.33,4.33,11.0,10.17,90.17,101.5,55.67,58.83,40.5,59.5,,,6.17,6.0,4.83,4.17,1.33,0.67,6.67,8.33,7.0,6.83,16.83,9.33,2.67,3.0,3.67,1.33,0.33,0.34,0.36,0.39,0.65,0.49,0.55,,,,,0.34,0.35,0.36,0.67,0.4,0.55,0.51,,,,,Argentina Liga Profissional de Futebol,2026,1.67,0.33,5.33,4.17,6.5,6.17,13.83,10.83,82.67,84.0,56.83,57.17,50.5,49.5,1.0,0.33,7.5,6.5,6.33,4.33,0.67,1.17,9.17,10.33,9.83,6.17,9.83,14.0,0.83,2.67,2.17,2.5,0.5,0.32,0.21,0.4,0.64,0.5,0.54,0.5,0.55,,,0.52,0.32,0.22,0.65,0.42,0.52,0.54,,,,
Argentinos Juniors,1.5,0.67,5.88,1.88,7.62,4.0,17.62,9.5,109.62,83.12,73.62,45.62,63.5,36.5,1.0,0.0,9.38,4.62,8.25,4.88,3.0,1.88,6.25,10.88,12.38,6.38,8.38,12.25,2.12,4.75,1.71,3.43,0.57,0.29,0.18,0.4,0.64,0.52,0.52,0.48,0.56,,,0.58,0.3,0.17,0.65,0.42,0.53,0.52,0.55,0.51,,,Argentina Liga Profissional de Futebol,2026,1.5,1.25,2.6,5.0,4.4,4.2,9.8,9.0,73.8,92.0,48.8,52.8,36.4,63.6,0.0,1.0,5.6,6.6,4.2,2.4,2.2,2.0,6.6,8.8,6.6,6.8,14.4,14.0,2.8,2.0,2.8,2.8,0.27,0.33,0.43,0.42,0.62,0.5,0.54,,,,,0.28,0.34,0.43,0.63,0.44,0.51,0.54,,,,
Atlético Tucumán,1.4,1.0,6.71,3.86,7.71,3.29,15.0,8.14,80.43,78.86,63.86,52.57,50.43,49.57,1.0,0.33,9.14,5.43,5.86,2.71,3.0,1.29,8.29,11.0,10.0,5.0,12.0,12.86,1.14,3.14,1.86,3.29,0.43,0.33,0.27,0.44,0.59,0.51,0.52,0.49,0.55,,,0.44,0.33,0.28,0.6,0.47,0.51,0.55,0.53,0.53,,,Argentina Liga Profissional de Futebol,2026,2.0,1.0,2.5,4.0,5.75,5.75,12.25,12.25,89.0,89.75,52.0,62.75,50.75,49.25,0.5,0.5,8.0,6.75,4.25,5.5,1.0,2.0,7.75,9.0,10.0,10.25,12.75,12.5,3.0,3.5,2.25,4.0,0.46,0.32,0.26,0.43,0.61,0.51,0.53,0.48,0.56,,,0.47,0.32,0.26,0.63,0.44,0.54,0.52,0.57,0.49,,
Banfield,1.17,1.0,5.33,3.5,6.17,6.67,13.83,14.33,86.5,94.83,51.0,53.5,42.33,57.67,0.0,1.0,8.17,8.83,5.67,5.5,2.17,1.33,8.33,7.5,8.33,8.17,9.33,10.83,3.0,2.83,3.33,3.17,0.39,0.34,0.31,0.43,0.61,0.51,0.53,0.47,0.56,,,0.4,0.34,0.32,0.62,0.45,0.53,0.52,0.49,0.57,,,Argentina Liga Profissional de Futebol,2026,1.6,0.6,8.0,1.0,5.4,4.0,19.0,8.6,112.8,82.4,71.8,47.6,65.8,34.2,1.0,0.0,11.2,3.6,7.8,5.0,0.4,1.4,6.6,8.6,11.0,6.6,13.2,11.0,1.8,5.4,3.2,2.2,0.51,0.3,0.23,0.43,0.61,0.53,0.5,0.49,0.54,,,0.52,0.31,0.23,0.62,0.45,0.52,0.54,0.5,0.56,,
Barracas Central,1.2,1.0,2.8,3.8,4.6,7.4,11.6,13.2,91.4,98.2,49.6,68.4,44.6,55.4,1.0,0.0,5.4,6.0,6.2,7.2,1.0,3.0,10.4,7.4,7.8,10.4,12.0,12.8,2.8,2.2,2.2,3.8,0.32,0.34,0.37,0.4,0.63,0.52,0.52,,,,,0.33,0.35,0.38,0.65,0.42,0.55,0.51,,,,,Argentina Liga Profissional de Futebol,2026,1.25,1.25,5.33,1.67,8.17,3.0,16.33,8.17,98.5,72.17,81.83,49.67,69.17,30.83,,,8.83,3.17,7.5,5.0,2.83,0.83,4.0,11.5,12.83,6.17,10.5,11.67,2.5,5.33,2.5,2.17,0.57,0.3,0.17,0.36,0.67,0.52,0.52,0.47,0.56,,,0.58,0.31,0.17,0.7,0.38,0.52,0.54,0.53,0.53,,
Belgrano,1.0,0.75,6.0,1.8,5.4,2.8,12.8,7.8,96.2,77.2,58.2,38.2,57.2,42.8,1.0,0.0,8.0,3.4,4.8,4.4,1.8,1.8,4.6,9.2,7.0,6.2,10.4,13.2,2.2,2.2,2.4,2.8,0.49,0.31,0.23,0.44,0.6,0.51,0.52,0.48,0.55,,,0.5,0.31,0.24,0.62,0.45,0.53,0.52,0.5,0.56,,,Argentina Liga Profissional de Futebol,2026,1.4,1.0,6.0,2.5,9.17,4.67,17.83,10.33,102.83,84.5,68.33,51.17,54.83,45.17,0.5,0.5,9.67,5.17,8.17,5.17,2.17,1.83,7.5,11.17,13.0,7.0,9.0,9.5,2.83,4.17,1.8,1.8,0.46,0.32,0.26,0.41,0.63,0.49,0.54,0.48,0.55,,,0.46,0.34,0.27,0.63,0.44,0.52,0.54,0.54,0.52,,
Boca Juniors,1.4,0.4,4.33,2.5,6.0,5.0,13.0,8.33,108.83,76.5,49.83,35.17,67.0,33.0,1.0,0.0,8.0,4.17,5.0,4.17,1.17,1.0,8.17,9.0,10.0,5.17,7.83,15.67,1.67,3.17,1.33,2.83,0.58,0.29,0.17,0.38,0.66,0.5,0.53,0.5,0.54,,,0.59,0.3,0.17,0.66,0.41,0.55,0.51,0.55,0.51,,,Argentina Liga Profissional de Futebol,2026,1.0,1.4,5.2,4.4,7.2,4.4,13.0,10.8,87.6,88.2,56.2,48.0,44.0,56.0,,,8.2,5.8,4.8,5.0,1.6,1.8,7.0,9.6,9.2,7.0,9.2,7.4,2.2,2.8,1.8,2.0,0.33,0.36,0.34,0.43,0.61,0.47,0.56,,,,,0.35,0.35,0.36,0.63,0.45,0.56,0.5,,,,
Central Cordoba SdE,0.75,1.0,5.5,2.25,3.75,4.5,8.75,12.75,92.5,93.5,58.25,60.75,52.0,48.0,,,6.0,8.25,2.75,4.5,1.5,2.0,6.5,4.75,5.5,8.25,11.0,12.25,2.75,2.0,1.0,1.75,0.34,0.36,0.34,0.38,0.65,0.48,0.56,,,,,0.36,0.36,0.34,0.66,0.4,0.55,0.5,,,,,Argentina Liga Profissional de Futebol,2026,2.0,0.2,5.33,3.5,6.67,3.0,16.67,7.0,93.33,89.17,67.5,53.5,54.83,45.17,0.5,0.5,12.0,3.5,4.67,3.5,1.33,1.67,5.17,10.0,9.67,4.67,13.83,12.83,2.33,4.17,2.33,3.33,0.57,0.29,0.17,0.4,0.63,0.52,0.51,0.5,0.54,,,0.59,0.3,0.18,0.65,0.42,0.53,0.52,0.5,0.56,,
Defensa y Justicia,1.2,1.0,4.67,2.67,5.17,5.83,11.83,11.0,76.17,77.17,51.5,61.0,47.83,52.17,0.5,0.5,7.0,6.33,4.83,4.67,1.83,1.0,8.83,9.0,10.17,9.17,9.33,9.83,2.5,4.33,1.67,2.17,0.36,0.34,0.33,0.44,0.59,0.49,0.54,,,,,0.37,0.34,0.34,0.62,0.46,0.53,0.53,,,,,Argentina Liga Profissional de Futebol,2026,1.5,2.25,5.8,3.0,7.0,3.6,15.0,7.8,84.2,66.8,63.2,40.4,49.8,50.2,1.0,1.0,10.8,5.2,4.2,2.6,1.2,1.4,6.2,10.2,9.8,6.2,13.8,8.8,1.6,3.4,3.0,1.6,0.44,0.34,0.25,0.41,0.63,0.5,0.53,,,,,0.46,0.35,0.25,0.63,0.44,0.55,0.51,,,,
Deportivo Riestra,0.5,1.0,5.0,3.67,4.0,4.17,12.17,8.5,94.17,81.17,74.0,53.5,48.0,52.0,0.0,1.0,8.83,4.67,3.33,3.83,2.5,1.5,7.67,7.5,6.67,7.17,15.33,11.33,2.67,3.5,3.0,2.67,0.41,0.36,0.26,0.36,0.67,0.48,0.57,,,,,0.42,0.37,0.26,0.69,0.38,0.56,0.5,,,,,Argentina Liga Profissional de Futebol,2026,1.2,0.2,5.4,2.2,6.2,2.8,15.8,8.4,109.0,91.6,68.2,55.6,68.0,32.0,1.0,0.0,7.0,5.2,8.8,3.2,0.6,1.6,4.8,10.0,10.8,5.4,8.4,18.0,2.6,3.8,2.0,4.2,0.46,0.34,0.23,0.35,0.69,0.47,0.56,,,,,0.47,0.34,0.24,0.69,0.38,0.57,0.49,,,,
