team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Alianza Petrolera,0.8,0.6,4.17,3.67,5.0,3.67,11.17,8.83,91.0,86.5,39.83,32.5,50.33,49.67,,,5.33,3.33,5.83,5.5,2.83,1.17,6.83,9.5,7.67,6.0,13.83,12.33,3.67,4.17,3.0,2.17,0.47,0.31,0.27,0.43,0.62,0.52,0.52,0.52,0.52,0.52,0.53,0.48,0.31,0.28,0.62,0.45,0.54,0.52,0.54,0.52,,,Colombia Liga BetPlay,2026,1.88,0.75,5.12,3.88,4.75,5.25,12.38,10.12,106.62,65.12,39.38,24.38,58.5,41.5,0.75,0.5,6.5,4.88,5.88,5.25,1.5,1.5,7.88,7.88,9.25,6.75,11.25,10.25,1.88,4.75,2.29,2.14,0.55,0.3,0.22,0.45,0.6,0.54,0.51,0.51,0.55,0.49,0.56,0.55,0.29,0.21,0.62,0.46,0.52,0.54,0.52,0.53,0.51,0.55
América de Cali,1.6,0.4,4.0,3.33,8.33,4.67,18.0,9.33,96.17,71.5,67.83,43.67,58.83,41.17,0.67,0.67,8.5,4.5,9.5,4.83,3.0,0.67,5.5,9.83,13.17,6.67,13.0,12.67,3.0,4.5,3.6,3.8,0.55,0.3,0.2,0.48,0.56,0.56,0.48,0.51,0.54,0.49,0.55,0.58,0.29,0.2,0.6,0.48,0.52,0.54,0.52,0.54,0.52,0.53,Colombia Liga BetPlay,2026,1.33,0.67,4.5,3.0,6.67,4.67,14.0,10.33,78.33,80.5,38.17,33.17,44.5,55.5,1.0,0.0,7.83,5.17,6.17,5.17,1.83,1.83,7.67,10.0,10.0,7.67,12.33,13.0,2.67,3.5,3.0,3.0,0.37,0.32,0.36,0.48,0.58,0.54,0.51,0.53,0.52,0.5,0.55,0.35,0.33,0.39,0.59,0.49,0.55,0.51,0.55,0.51,,
Atlético Bucaramanga,2.83,0.67,4.86,3.57,6.29,5.14,13.43,8.57,102.57,76.29,41.29,22.71,54.0,46.0,,,6.33,3.33,6.33,5.17,2.29,1.29,6.83,7.83,10.57,6.14,13.43,13.0,2.29,3.29,3.0,3.57,0.58,0.28,0.19,0.47,0.58,0.54,0.51,0.53,0.52,0.52,0.52,0.6,0.28,0.18,0.61,0.47,0.53,0.52,0.54,0.52,0.53,0.53,Colombia Liga BetPlay,2026,1.67,1.0,3.38,4.62,4.88,4.5,10.38,11.5,78.12,94.75,31.38,34.0,50.0,50.0,1.0,0.5,5.75,5.75,4.75,5.75,1.12,2.0,9.0,8.43,7.5,8.75,10.88,9.88,4.38,2.88,3.5,2.0,0.36,0.33,0.35,0.48,0.58,0.52,0.52,0.5,0.55,,,0.37,0.33,0.36,0.61,0.47,0.52,0.53,0.52,0.54,,
Atlético Nacional,2.83,0.5,5.0,2.43,8.0,5.14,20.0,9.14,100.57,63.43,39.0,24.86,58.0,42.0,1.5,0.0,11.43,4.57,8.57,4.43,3.71,1.86,6.0,11.0,14.57,6.57,10.29,8.57,2.29,6.43,2.14,1.71,0.72,0.21,0.12,0.49,0.57,,,0.56,0.5,0.52,0.53,0.75,0.19,0.12,0.59,0.49,,,,,0.52,0.53,Colombia Liga BetPlay,2026,1.29,1.57,4.43,4.57,6.0,4.86,12.0,14.0,68.71,86.86,36.71,31.71,45.0,55.0,0.5,0.5,5.29,7.57,6.71,6.14,1.86,3.0,7.29,9.14,10.5,8.83,11.57,12.0,4.71,3.71,2.29,3.29,0.33,0.3,0.41,0.56,0.5,0.56,0.49,0.53,0.52,0.52,0.53,0.33,0.3,0.43,0.52,0.57,,,0.52,0.54,0.53,0.52
Boyacá Chicó,1.43,0.57,4.71,4.14,5.43,6.0,11.29,11.14,84.57,73.71,28.14,21.71,51.43,48.57,,,4.86,6.0,6.43,5.14,2.14,2.71,6.0,10.8,8.57,7.86,14.86,11.86,1.57,2.0,3.57,3.86,0.31,0.32,0.42,0.44,0.61,0.53,0.52,0.49,0.56,,,0.32,0.32,0.43,0.62,0.46,0.51,0.55,0.53,0.53,,,Colombia Liga BetPlay,2026,2.57,0.29,4.43,2.29,6.71,3.29,16.43,7.29,92.0,68.0,43.14,22.29,57.43,42.57,0.67,0.33,9.0,2.86,7.43,4.43,3.86,1.14,5.33,9.83,11.86,4.71,13.57,13.29,1.0,3.29,2.71,2.86,0.7,0.24,0.12,0.39,0.66,0.52,0.52,0.52,0.52,0.5,0.55,0.7,0.25,0.12,0.65,0.42,0.52,0.53,0.52,0.54,0.52,0.54
Cúcuta Deportivo,1.14,1.43,3.29,5.29,3.14,5.29,7.43,15.57,60.0,92.43,23.86,44.29,44.0,56.0,0.75,0.5,3.86,9.14,3.43,6.43,2.71,1.43,7.57,5.29,6.14,12.29,10.14,15.57,5.71,2.57,2.71,3.43,0.37,0.32,0.37,0.51,0.54,0.52,0.53,0.53,0.51,0.5,0.55,0.37,0.32,0.37,0.55,0.53,0.51,0.54,0.51,0.54,0.54,0.52,Colombia Liga BetPlay,2026,2.71,1.29,5.25,4.12,7.75,3.62,17.62,9.25,95.75,84.5,42.0,37.38,50.12,49.88,,,9.0,4.75,6.88,4.12,1.38,1.75,5.88,11.0,12.57,7.14,10.0,9.5,3.62,5.38,2.14,1.86,0.58,0.27,0.2,0.49,0.56,0.55,0.49,0.54,0.51,0.52,0.52,0.58,0.27,0.22,0.58,0.5,0.52,0.53,0.51,0.55,0.55,0.51
Deportes Tolima,2.0,0.67,5.0,3.44,7.11,4.78,16.67,9.89,103.56,67.33,39.11,22.67,64.11,35.89,0.75,0.25,8.44,5.33,8.22,4.44,1.78,2.33,6.62,9.12,11.78,7.33,9.44,8.78,3.11,4.33,2.12,2.25,0.57,0.28,0.2,0.48,0.57,0.54,0.51,0.51,0.53,0.53,0.52,0.61,0.27,0.18,0.62,0.45,0.51,0.54,0.52,0.53,0.51,0.55,Colombia Liga BetPlay,2026,1.0,1.2,4.86,3.57,6.57,3.57,13.29,8.29,97.14,70.43,33.57,22.43,54.43,45.57,0.0,1.0,4.71,3.71,8.57,4.57,4.14,1.29,5.4,9.4,9.71,5.71,11.71,13.14,2.0,3.43,2.57,2.86,0.45,0.31,0.28,0.48,0.57,0.55,0.5,0.5,0.54,,,0.45,0.31,0.29,0.59,0.49,0.51,0.55,0.52,0.53,0.53,0.53
Deportivo Cali,1.38,0.75,6.0,4.22,6.56,3.33,14.67,9.67,97.22,69.78,34.89,17.67,55.67,44.33,0.67,0.67,7.22,5.33,7.33,4.33,1.25,1.75,4.75,9.62,10.67,6.56,15.0,10.22,3.33,4.56,2.89,3.78,0.51,0.3,0.24,0.47,0.58,0.55,0.51,0.52,0.53,0.49,0.56,0.52,0.3,0.25,0.6,0.48,0.53,0.53,0.53,0.53,0.5,0.56,Colombia Liga BetPlay,2026,1.29,1.0,6.14,4.57,4.86,5.29,10.43,11.71,80.29,78.86,34.14,34.43,52.29,47.71,1.0,1.0,6.0,4.86,4.29,6.14,3.0,1.29,8.57,6.86,7.5,9.67,11.0,15.14,3.43,3.71,2.71,2.86,0.37,0.33,0.34,0.5,0.55,0.52,0.53,0.53,0.52,0.49,0.56,0.39,0.33,0.35,0.57,0.52,0.52,0.53,0.53,0.53,,
Deportivo Pasto,1.62,0.75,3.78,3.89,5.56,4.22,12.11,9.89,84.67,83.89,43.11,37.33,52.89,47.11,0.67,0.33,5.89,4.56,6.22,5.22,3.0,1.67,7.38,8.5,8.0,6.67,10.0,10.44,3.67,3.33,2.5,2.88,0.44,0.31,0.3,0.45,0.6,0.54,0.51,0.53,0.53,0.51,0.54,0.44,0.32,0.31,0.61,0.46,0.53,0.53,0.52,0.54,0.51,0.54,Colombia Liga BetPlay,2026,1.83,1.67,4.71,3.29,5.14,5.0,12.29,11.43,96.43,82.0,35.0,27.0,50.0,50.0,0.5,1.0,6.43,6.0,6.0,5.43,2.43,1.57,6.6,8.8,9.0,8.33,14.29,10.14,3.14,4.71,2.71,3.86,0.47,0.32,0.26,0.47,0.58,0.53,0.52,0.52,0.52,0.49,0.55,0.48,0.32,0.27,0.59,0.49,0.53,0.53,0.54,0.52,,
Deportivo Pereira,1.2,2.2,3.57,5.14,5.43,5.71,11.57,13.0,60.43,96.71,22.57,37.71,46.71,53.29,0.5,1.0,6.29,7.29,5.14,5.71,2.29,0.86,7.5,8.0,8.29,9.86,9.57,10.57,3.71,3.43,2.43,2.43,0.27,0.31,0.47,0.51,0.55,0.55,0.5,0.52,0.53,0.5,0.55,0.28,0.31,0.48,0.56,0.52,0.52,0.53,0.55,0.5,0.5,0.55,Colombia Liga BetPlay,2026,1.62,0.62,6.5,1.62,8.12,3.12,18.75,7.38,104.62,60.38,27.62,14.5,59.38,40.62,1.0,0.5,9.75,2.88,9.0,4.5,0.86,1.57,5.33,10.83,13.5,5.88,11.0,9.12,3.0,4.75,2.29,2.71,0.68,0.24,0.13,0.42,0.63,0.54,0.51,0.52,0.52,0.5,0.55,0.68,0.25,0.15,0.65,0.43,0.53,0.53,0.52,0.54,0.52,0.54
